SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3007 N Gayle St,Orange,CA,92865,899900,3,2.0,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1531,10400,1963,9,588,,Active,,,http://www.redfin.com/CA/Orange/3007-N-Gayle-St-92865/home/4319768,CRMLS,OC21178986,N,Y,33.8393415,-117.8390417
MLS Listing,,Single Family Residential,4129 E Townsend Ave,Orange,CA,92867,1499800,4,3.0,"75 - Orange, Orange Park Acres E of 55",3447,10500,1990,10,435,145,Active,,,http://www.redfin.com/CA/Orange/4129-E-Townsend-Ave-92867/home/4325855,CRMLS,OC21176947,N,Y,33.8322952,-117.8096652
MLS Listing,,Single Family Residential,6682 E Bonita Ct,Orange,CA,92867,1298000,4,3.0,"75 - Orange, Orange Park Acres E of 55",2850,5600,2000,16,455,94,Active,,,http://www.redfin.com/CA/Orange/6682-Bonita-Ct-92867/home/5764019,CRMLS,OC21170451,N,Y,33.8243434,-117.7822994
MLS Listing,,Single Family Residential,1938 W Culver Ave #3,Orange,CA,92868,553900,2,2.5,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1240,882,1982,1,447,343,Active,,,http://www.redfin.com/CA/Orange/1938-W-Culver-Ave-92868/unit-3/home/4418945,CRMLS,LG21185654,N,Y,33.7819733,-117.8735248
MLS Listing,,Single Family Residential,19382 Mesa Dr,Villa Park,CA,92861,4699000,5,7.5,73 - Villa Park,11500,39410,2005,2,409,,Active,,,http://www.redfin.com/CA/Villa-Park/19382-Mesa-Dr-92861/home/4344064,CRMLS,PW21184530,N,Y,33.8242789,-117.7943683
MLS Listing,,Single Family Residential,2658 N River Trail Rd,Orange,CA,92865,775000,3,2.5,RVB - Riverbend,1987,3450,1984,2,390,135,Active,August-27-2021 03:00 AM,August-27-2021 06:00 PM,http://www.redfin.com/CA/Orange/2658-N-River-Trail-Rd-92865/home/4357068,CRMLS,PW21182109,N,Y,33.8328879,-117.862989
MLS Listing,,Single Family Residential,176 N Jetty Dr,Orange,CA,92868,765000,4,1.75,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1356,7200,1955,2,564,,Active,,,http://www.redfin.com/CA/Orange/176-N-Jetty-Dr-92868/home/3689349,CRMLS,PW21184860,N,Y,33.7902642,-117.9017629
MLS Listing,,Single Family Residential,317 N Sacramento St,Orange,CA,92867,899900,3,2.0,"75 - Orange, Orange Park Acres E of 55",1580,6100,1964,2,570,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Orange/317-N-Sacramento-St-92867/home/4389069,CRMLS,OC21182802,N,Y,33.7918473,-117.8293569
MLS Listing,,Single Family Residential,4728 E Fairfield St,Anaheim Hills,CA,92807,875000,3,2.75,77 - Anaheim Hills,2178,2614,1981,2,402,395,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Anaheim/4728-E-Fairfield-St-92807/home/4324573,CRMLS,PW21168002,N,Y,33.83897,-117.811005
MLS Listing,,Single Family Residential,278 N Batavia St,Orange,CA,92868,725000,3,2.0,OTO - Old Towne Orange,1297,5688,1960,2,559,,Active,,,http://www.redfin.com/CA/Orange/278-N-Batavia-St-92868/home/3220656,CRMLS,PW21183690,N,Y,33.7911144,-117.8620422
