SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,250 Grace Ave,La Habra,CA,90631,625000,2,1.0,87 - La Habra,920,6573,1950,20,679,,Active,,,http://www.redfin.com/CA/La-Habra/250-Grace-Ave-90631/home/3114771,CRMLS,IV21169554,N,Y,33.9221278,-117.9443277
MLS Listing,,Single Family Residential,2040 Baja Ave,La Habra,CA,90631,725000,3,1.75,87 - La Habra,1491,6510,1958,1,486,,Active,August-28-2021 01:00 PM,August-28-2021 04:00 PM,http://www.redfin.com/CA/La-Habra/2040-Baja-Ave-90631/home/3106927,CRMLS,PW21185237,N,Y,33.9258721,-117.9686263
MLS Listing,,Single Family Residential,1910 W El Portal Dr,La Habra,CA,90631,800000,3,2.5,87 - La Habra,1718,8339,1958,2,466,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/La-Habra/1910-W-El-Portal-Dr-90631/home/3103244,CRMLS,OC21174669,N,Y,33.9338854,-117.9671392
MLS Listing,,Single Family Residential,1320 Valwood St,La Habra,CA,90631,600000,4,2.0,87 - La Habra,1361,6100,1962,2,441,,Active,,,http://www.redfin.com/CA/La-Habra/1320-Valwood-St-90631/home/3118748,CRMLS,PW21183844,N,Y,33.9152951,-117.9464785
MLS Listing,,Single Family Residential,311 N Palm,La Habra,CA,90631,700000,3,2.0,87 - La Habra,1041,5828,1957,2,672,,Active,,,http://www.redfin.com/CA/La-Habra/311-N-Palm-St-90631/home/4134760,CRMLS,OC21184858,N,Y,33.9340387,-117.9246027
MLS Listing,,Single Family Residential,1915 Skywood St,Brea,CA,92821,818900,4,2.5,86 - Brea,1627,5002,1970,2,503,,Active,,,http://www.redfin.com/CA/Brea/1915-Skywood-St-92821/home/4118996,CRMLS,LG21184389,N,Y,33.9303384,-117.9267538
MLS Listing,,Single Family Residential,1220 Roanoke St,La Habra,CA,90631,825000,3,1.75,87 - La Habra,1686,8162,1962,3,489,,Active,,,http://www.redfin.com/CA/La-Habra/1220-Roanoke-St-90631/home/3097617,CRMLS,PW21138990,N,Y,33.9431906,-117.9747576
MLS Listing,,Single Family Residential,1421 Woodcrest Ave,Brea,CA,92821,985000,4,2.5,86 - Brea,1959,8925,1976,3,503,,Active,,,http://www.redfin.com/CA/Brea/1421-Woodcrest-Ave-92821/home/4126847,CRMLS,PW21183383,N,Y,33.9459244,-117.919202
MLS Listing,,Single Family Residential,641 Ryan Ave,La Habra,CA,90631,860000,4,1.0,La Habra,,8418,,3,,,Active,,,http://www.redfin.com/CA/La-Habra/641-Ryan-Ave-90631/home/4125655,TheMLS,21-774410,N,Y,33.9417985,-117.9531598
MLS Listing,,Single Family Residential,1291 Lemon Tree Dr,La Habra,CA,90631,950000,4,3.0,87 - La Habra,2633,6695,1979,3,361,,Active,,,http://www.redfin.com/CA/La-Habra/1291-Lemon-Tree-Dr-90631/home/3120152,CRMLS,PW21182230,N,Y,33.9146073,-117.9615338
MLS Listing,,Single Family Residential,201 Alpine St,La Habra,CA,90631,560000,2,1.0,87 - La Habra,879,6325,1952,4,637,,Active,,,http://www.redfin.com/CA/La-Habra/201-Alpine-St-90631/home/4119244,CRMLS,DW21182944,N,Y,33.9310459,-117.9327035
MLS Listing,,Single Family Residential,141 Wilgar Dr,La Habra,CA,90631,1050000,4,3.0,87 - La Habra,2058,19980,1955,4,510,,Active,,,http://www.redfin.com/CA/La-Habra/141-Wilgar-Dr-90631/home/3104299,CRMLS,PW21182817,N,Y,33.9314971,-117.9624032
