SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9889 Raritan Ave,Fountain Valley,CA,92708,1325000,4,2.5,16 - Fountain Valley / Northeast HB,2626,6300,1973,1,505,,Active,,,http://www.redfin.com/CA/Fountain-Valley/9889-Raritan-Ave-92708/home/3731956,CRMLS,OC21185277,N,Y,33.7318467,-117.9565003
MLS Listing,,Single Family Residential,9441 El Blanco Ave,Fountain Valley,CA,92708,939000,4,2.25,16 - Fountain Valley / Northeast HB,1923,7659,1965,2,488,,Active,,,http://www.redfin.com/CA/Fountain-Valley/9441-El-Blanco-Ave-92708/home/3852633,CRMLS,OC21153824,N,Y,33.7076842,-117.964142
MLS Listing,,Single Family Residential,17782 Joshua Cir,Fountain Valley,CA,92708,1699900,6,4.0,16 - Fountain Valley / Northeast HB,3369,7200,1969,3,505,,Active,August-22-2021 01:00 AM,August-22-2021 06:00 PM,http://www.redfin.com/CA/Fountain-Valley/17782-Joshua-Cir-92708/home/3851854,CRMLS,PW21181855,N,Y,33.7045289,-117.9707768
MLS Listing,,Single Family Residential,17835 Ash St,Fountain Valley,CA,92708,1189000,4,2.5,16 - Fountain Valley / Northeast HB,2632,7207,1963,3,452,,Active,,,http://www.redfin.com/CA/Fountain-Valley/17835-Ash-St-92708/home/3854962,CRMLS,OC21183506,N,Y,33.7039579,-117.9653089
MLS Listing,,Single Family Residential,9872 Flamingo Ave,Fountain Valley,CA,92708,1269000,6,3.5,16 - Fountain Valley / Northeast HB,2960,7200,1964,3,429,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fountain-Valley/9872-Flamingo-Ave-92708/home/3821860,CRMLS,OC21164740,N,Y,33.6963722,-117.9565232
MLS Listing,,Single Family Residential,9857 Red River Cir,Fountain Valley,CA,92708,1474900,4,3.0,16 - Fountain Valley / Northeast HB,2931,7112,1977,4,503,,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fountain-Valley/9857-Red-River-Cir-92708/home/3826742,CRMLS,OC21180984,N,Y,33.6902325,-117.9566147
MLS Listing,,Single Family Residential,18966 Mount Demeter Cir,Fountain Valley,CA,92708,1500000,4,3.0,16 - Fountain Valley / Northeast HB,2778,7351,1977,4,540,,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fountain-Valley/18966-Mt-Demeter-Cir-92708/home/3831094,CRMLS,IG21182167,N,Y,33.6873091,-117.972241
MLS Listing,,Single Family Residential,18573 Lime Cir,Fountain Valley,CA,92708,1099000,4,2.5,16 - Fountain Valley / Northeast HB,1808,7316,1965,5,608,,Active,,,http://www.redfin.com/CA/Fountain-Valley/18573-Lime-Cir-92708/home/3822821,CRMLS,OC21181585,N,Y,33.6930298,-117.9612135
MLS Listing,,Single Family Residential,18889 Capense St,Fountain Valley,CA,92708,995000,4,1.75,16 - Fountain Valley / Northeast HB,1943,5900,1970,5,512,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fountain-Valley/18889-Capense-St-92708/home/3826680,CRMLS,OC21176443,N,Y,33.6884045,-117.9635014
MLS Listing,,Single Family Residential,17602 Locust St,Fountain Valley,CA,92708,915000,4,2.5,16 - Fountain Valley / Northeast HB,1875,7684,1965,6,488,,Active,,,http://www.redfin.com/CA/Fountain-Valley/17602-Locust-St-92708/home/3852212,CRMLS,OC21172175,N,Y,33.7071934,-117.9656521
MLS Listing,,Single Family Residential,16767 Silktree St,Fountain Valley,CA,92708,975000,4,2.0,16 - Fountain Valley / Northeast HB,1920,6432,1970,10,508,,Active,,,http://www.redfin.com/CA/Fountain-Valley/16767-Silktree-St-92708/home/3733506,CRMLS,NP21177309,N,Y,33.7194947,-117.9587196
MLS Listing,,Single Family Residential,10784 El Plano Ave,Fountain Valley,CA,92708,669900,3,1.5,16 - Fountain Valley / Northeast HB,1329,2025,1964,10,504,291,Active,August-22-2021 01:30 PM,August-22-2021 04:30 PM,http://www.redfin.com/CA/Fountain-Valley/10784-El-Plano-Ave-92708/home/3867057,CRMLS,OC21170704,N,Y,33.7150998,-117.9409475
MLS Listing,,Single Family Residential,15951 Royale Ct,Fountain Valley,CA,92708,649000,3,2.25,16 - Fountain Valley / Northeast HB,1402,1302,1973,11,463,327,Active,,,http://www.redfin.com/CA/Fountain-Valley/15951-Royale-Ct-92708/home/3520240,CRMLS,PW21177476,N,Y,33.731604,-117.9386072
MLS Listing,,Single Family Residential,16221 Mt Baden-Powell,Fountain Valley,CA,92708,1195000,4,2.5,16 - Fountain Valley / Northeast HB,2184,6064,1971,12,547,,Active,,,http://www.redfin.com/CA/Fountain-Valley/16221-Mt-Baden-Powell-St-92708/home/3742649,CRMLS,PW21175857,N,Y,33.7277281,-117.9369368
MLS Listing,,Single Family Residential,9187 Mcbride River Ave,Fountain Valley,CA,92708,1439000,5,3.0,16 - Fountain Valley / Northeast HB,3020,7200,1977,17,476,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fountain-Valley/9187-McBride-River-Ave-92708/home/3824215,CRMLS,OC21161335,N,Y,33.6947751,-117.9682145
MLS Listing,,Single Family Residential,10355 Morning Glory Ave,Fountain Valley,CA,92708,989000,3,2.0,"68 - N of Heil, S of Blsa, E of Brookhrst, W of Ha",1270,7200,1964,18,779,,Active,,,http://www.redfin.com/CA/Fountain-Valley/10355-Morning-Glory-Ave-92708/home/3528998,CRMLS,PW21163062,N,Y,33.7313841,-117.9485378
MLS Listing,,Single Family Residential,9049 Lemongrass Ct,Fountain Valley,CA,92708,1899000,5,4.0,16 - Fountain Valley / Northeast HB,3695,7047,2011,18,514,75,Active,,,http://www.redfin.com/CA/Fountain-Valley/9049-Lemongrass-Ct-92708/home/45376452,CRMLS,OC21171261,N,Y,33.7001976,-117.9707997
MLS Listing,,Single Family Residential,9782 Scanlan Ct,Fountain Valley,CA,92708,825000,3,2.25,16 - Fountain Valley / Northeast HB,1887,1768,1986,19,437,361,Active,,,http://www.redfin.com/CA/Fountain-Valley/9782-Scanlan-Ct-92708/home/3832647,CRMLS,OC21170668,N,Y,33.700278,-117.958047
MLS Listing,,Single Family Residential,10458 Placer River Cir,Fountain Valley,CA,92708,1278888,5,3.0,16 - Fountain Valley / Northeast HB,2620,6066,1973,23,488,40,Active,,,http://www.redfin.com/CA/Fountain-Valley/10458-Placer-River-Cir-92708/home/3819043,CRMLS,OC21167254,N,Y,33.6944433,-117.9465701
MLS Listing,,Single Family Residential,10288 Circulo De Juarez,Fountain Valley,CA,92708,1849000,5,5.5,16 - Fountain Valley / Northeast HB,3847,6880,2000,28,481,,Active,,,http://www.redfin.com/CA/Fountain-Valley/10288-Circulo-De-Juarez-92708/home/3862799,CRMLS,PW21163189,N,Y,33.7115037,-117.9492929
MLS Listing,,Single Family Residential,16937 Mount Hope St,Fountain Valley,CA,92708,1299000,4,2.25,16 - Fountain Valley / Northeast HB,2340,7200,1976,38,555,,Active,,,http://www.redfin.com/CA/Fountain-Valley/16937-Mt-Hope-St-92708/home/3736152,CRMLS,OC21154828,N,Y,33.7174685,-117.9330696
MLS Listing,,Single Family Residential,9668 Talbert Ave,Fountain Valley,CA,92708,950000,3,2.0,"68 - N of Heil, S of Blsa, E of Brookhrst, W of Ha",1463,7200,1968,39,649,,Active,,,http://www.redfin.com/CA/Fountain-Valley/9668-Talbert-Ave-92708/home/3823907,CRMLS,PW21153064,N,Y,33.7013184,-117.9600695
MLS Listing,,Single Family Residential,18241 Santa Sophia Cir,Fountain Valley,CA,92708,1549000,5,2.75,16 - Fountain Valley / Northeast HB,2620,6000,1970,44,591,44,Active,,,http://www.redfin.com/CA/Fountain-Valley/18241-Santa-Sophia-Cir-92708/home/3552833,CRMLS,OC21147736,N,Y,33.6977837,-117.9741628
MLS Listing,,Single Family Residential,17928 Toiyabe Cir,Fountain Valley,CA,92708,1275000,5,2.5,16 - Fountain Valley / Northeast HB,2918,8470,1976,52,437,,Active,,,http://www.redfin.com/CA/Fountain-Valley/17928-Toiyabe-Cir-92708/home/3856069,CRMLS,PW21143419,N,Y,33.7027107,-117.9547156
