SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4342 Margarita St,Irvine,CA,92604,1500000,6,4.5,EC - El Camino Real,3059,5000,1974,7,490,66,Active,,,http://www.redfin.com/CA/Irvine/4342-Margarita-St-92604/home/4672257,CRMLS,OC21180356,N,Y,33.6987951,-117.7856888
MLS Listing,,Single Family Residential,7 Taggert,Irvine,CA,92603,3660000,5,5.5,TR - Turtle Rock,4456,12130,1993,2,821,535,Active,August-22-2021 11:00 AM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Irvine/7-Taggert-92603/home/4745698,CRMLS,OC21182446,N,Y,33.6488645,-117.8070089
MLS Listing,,Single Family Residential,191 Carmine,Irvine,CA,92618,1125000,4,3.0,Irvine,2116,3355,2017,2,532,,Active,,,http://www.redfin.com/CA/Irvine/191-Carmine-92618/home/169488387,TheMLS,21-774874,N,Y,33.6795783,-117.7368697
MLS Listing,,Single Family Residential,104 Drama,Irvine,CA,92618,1680000,4,4.0,GP - Great Park,3350,4876,2018,3,501,215,Active,,,http://www.redfin.com/CA/Irvine/104-Drama-92618/home/112725638,CRMLS,OC21184318,N,Y,33.6864475,-117.7219448
MLS Listing,,Single Family Residential,56 Weston,Irvine,CA,92620,1750000,4,4.0,STG - Stonegate,3084,4008,2013,3,567,120,Active,August-22-2021 12:00 PM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Irvine/56-Weston-92620/home/58556252,CRMLS,OC21182589,N,Y,33.7086143,-117.739147
MLS Listing,,Single Family Residential,72 Melville,Irvine,CA,92620,1498000,4,4.0,STG - Stonegate,2653,4004,2014,3,565,120,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Irvine/72-Melville-92620/home/58556348,CRMLS,OC21183595,N,Y,33.7097873,-117.7469435
MLS Listing,,Single Family Residential,3492 Eboe St,Irvine,CA,92606,1499999,6,3.0,WN - Walnut (Irvine),3090,6500,1973,3,485,53,Active,,,http://www.redfin.com/CA/Irvine/3492-Eboe-St-92606/home/4675642,CRMLS,OC21144596,N,Y,33.7087092,-117.7949408
MLS Listing,,Single Family Residential,105 Iron Gate,Irvine,CA,92618,4698000,5,5.5,LGA - Laguna Altura,5085,10699,2017,3,924,450,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Irvine/105-Iron-Gate-92603/home/112725762,CRMLS,OC21183336,N,Y,33.6352309,-117.7538139
MLS Listing,,Single Family Residential,15191 Nantes Cir,Irvine,CA,92604,1249000,4,2.25,EC - El Camino Real,2550,6840,1971,4,490,,Active,,,http://www.redfin.com/CA/Irvine/15191-Nantes-Cir-92604/home/4681889,CRMLS,PW21182305,N,Y,33.6895077,-117.7844521
MLS Listing,,Single Family Residential,1 Satinwood Way,Irvine,CA,92612,1150000,4,3.0,UP - University Park,2001,4416,1966,4,575,210,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Irvine/1-Satinwood-Way-92612/home/4699524,CRMLS,OC21181557,N,Y,33.6657328,-117.8190763
MLS Listing,,Single Family Residential,131 Pixel,Irvine,CA,92618,2080808,5,5.5,GP - Great Park,4100,5833,2019,4,508,215,Active,,,http://www.redfin.com/CA/Irvine/131-Pixel-92618/home/112725906,CRMLS,TR21180240,N,Y,33.6879988,-117.7245897
MLS Listing,,Single Family Residential,57 Crestwick,Irvine,CA,92620,1359000,3,2.5,STG - Stonegate,2291,4051,2015,5,593,120,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Irvine/57-Crestwick-92620/home/58556448,CRMLS,OC21181993,N,Y,33.7116488,-117.7447363
MLS Listing,,Single Family Residential,3972 Ash St,Irvine,CA,92606,969000,4,2.0,WN - Walnut (Irvine),1644,8160,1974,5,589,55,Active,,,http://www.redfin.com/CA/Irvine/3972-Ash-St-92606/home/4675202,CRMLS,OC21175942,N,Y,33.7025312,-117.7904718
MLS Listing,,Single Family Residential,4532 Cheviot Dr,Irvine,CA,92604,800000,2,2.0,EC - El Camino Real,976,5040,1971,5,820,,Active,August-22-2021 03:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Irvine/4532-Cheviot-Dr-92604/home/4665576,CRMLS,OC21180258,N,Y,33.6972382,-117.783055
MLS Listing,,Single Family Residential,54 Egret,Irvine,CA,92618,2799000,5,5.5,699 - Not Defined,4881,6564,2019,7,573,299,Active,,,http://www.redfin.com/CA/Irvine/54-Egret-92618/home/167387007,CRMLS,OC21180222,N,Y,33.6805138,-117.7034714
MLS Listing,,Single Family Residential,83 Ashdale,Irvine,CA,92620,1298000,4,3.75,STG - Stonegate,2300,,2014,8,564,120,Active,August-22-2021 01:30 PM,August-22-2021 04:30 PM,http://www.redfin.com/CA/Irvine/83-Ashdale-92620/home/112721658,CRMLS,OC21180200,N,Y,33.7086201,-117.7445989
MLS Listing,,Single Family Residential,16 Sunnyvale,Irvine,CA,92602,1599990,4,3.5,NK - Northpark,2839,4811,2001,8,564,210,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Irvine/16-Sunnyvale-92602/home/5772329,CRMLS,OC21179912,N,Y,33.727475,-117.7671376
MLS Listing,,Single Family Residential,134 Interval,Irvine,CA,92618,1200000,3,3.0,GP - Great Park,2473,3200,2018,9,485,215,Active,August-22-2021 02:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Irvine/134-Interval-92618/home/169488332,CRMLS,OC21179454,N,Y,33.682638,-117.739379
MLS Listing,,Single Family Residential,17251 Chestnut,Irvine,CA,92612,759000,2,2.0,UP - University Park,1224,2912,1974,9,620,241,Active,,,http://www.redfin.com/CA/Irvine/17251-Chestnut-92612/home/4708736,CRMLS,OC21178106,N,Y,33.6630292,-117.8025249
MLS Listing,,Single Family Residential,19 Red Rock,Irvine,CA,92604,1480000,4,2.5,699 - Not Defined,2580,5400,1975,9,574,55,Active,August-22-2021 01:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Irvine/19-Red-Rock-92604/home/4683900,CRMLS,OC21179387,N,Y,33.6901768,-117.7903149
