SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9571 Westwood Dr,Westminster,CA,92683,959000,4,2.0,"67 - S of Bolsa, E of Beach",1638,6080,1969,1,585,,Active,,,http://www.redfin.com/CA/Westminster/9571-Westwood-Dr-92683/home/3728757,CRMLS,NP21178157,N,Y,33.7331847,-117.9620372
MLS Listing,,Single Family Residential,9889 Raritan Ave,Fountain Valley,CA,92708,1325000,4,2.5,16 - Fountain Valley / Northeast HB,2626,6300,1973,1,505,,Active,,,http://www.redfin.com/CA/Fountain-Valley/9889-Raritan-Ave-92708/home/3731956,CRMLS,OC21185277,N,Y,33.7318467,-117.9565003
MLS Listing,,Single Family Residential,6431 Harmony Cir,Huntington Beach,CA,92647,849888,3,1.75,17 - Northwest Huntington Beach,1218,6000,1964,3,698,,Active,August-22-2021 12:00 PM,August-22-2021 02:00 PM,http://www.redfin.com/CA/Huntington-Beach/6431-Harmony-Cir-92647/home/3884680,CRMLS,PW21183975,N,Y,33.7478988,-118.0166189
MLS Listing,,Single Family Residential,7785 Pacific Cir,Midway City,CA,92655,739000,3,2.5,"60 - Westminster South of Westminster, W of Beach",1402,113256000,1999,8,527,75,Active,,,http://www.redfin.com/CA/Midway-City/7785-Pacific-Cir-92655/home/5843263,CRMLS,PW21179772,N,Y,33.7420566,-117.9926013
MLS Listing,,Single Family Residential,10480 Radcliff Cir,Westminster,CA,92683,948000,4,3.0,"68 - N of Heil, S of Blsa, E of Brookhrst, W of Ha",1814,6175,1963,10,523,,Active,,,http://www.redfin.com/CA/Westminster/10480-Radcliff-Cir-92683/home/3527252,CRMLS,OC21176718,N,Y,33.7407426,-117.9465472
MLS Listing,,Single Family Residential,14441 Brandywyne,Garden Grove,CA,92844,650000,3,2.5,"65 - N of Blsa, S of GGrv, E of Bch, W of Brookhrs",1522,1456,1981,10,427,230,Active,,,http://www.redfin.com/CA/Garden-Grove/14441-Brandywyne-Ter-92844/home/3459247,CRMLS,OC21177751,N,Y,33.752874,-117.960229
MLS Listing,,Single Family Residential,13381 Beach Terrace Dr,Garden Grove,CA,92844,720000,3,2.0,"64 - Garden Grove E of Euclid, W of Harbor",1348,3915,1977,12,534,240,Active,,,http://www.redfin.com/CA/Garden-Grove/13381-Beach-Terrace-Dr-92844/home/3432701,CRMLS,PW21175758,N,Y,33.768134,-117.990339
MLS Listing,,Single Family Residential,15312 Shasta Ln,Huntington Beach,CA,92647,899900,4,2.0,17 - Northwest Huntington Beach,1432,6000,1963,12,628,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/15312-Shasta-Ln-92647/home/3721001,CRMLS,OC21166603,N,Y,33.7398645,-117.9961241
MLS Listing,,Single Family Residential,6362 Apache Rd,Westminster,CA,92683,850000,4,2.5,59 - Westminster North of 405 & Westminster,1437,7245,1955,16,592,,Active,August-22-2021 01:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Westminster/6362-Apache-Rd-92683/home/3914706,CRMLS,PW21174086,N,Y,33.772629,-118.0187231
MLS Listing,,Single Family Residential,10355 Morning Glory Ave,Fountain Valley,CA,92708,989000,3,2.0,"68 - N of Heil, S of Blsa, E of Brookhrst, W of Ha",1270,7200,1964,18,779,,Active,,,http://www.redfin.com/CA/Fountain-Valley/10355-Morning-Glory-Ave-92708/home/3528998,CRMLS,PW21163062,N,Y,33.7313841,-117.9485378
