SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8 Madrona,Rancho Santa Margarita,CA,92688,899000,4,3.0,R1 - Rancho Santa Margarita North,2246,7000,1986,2,400,71,Active,,,http://www.redfin.com/CA/Rancho-Santa-Margarita/8-Madrona-92688/home/5092162,CRMLS,OC21183903,N,Y,33.6568723,-117.5801484
MLS Listing,,Single Family Residential,21392 Sleepy Glen Ln,Rancho Santa Margarita,CA,92679,799900,3,2.5,RR - Robinson Ranch,1678,4420,1985,24,477,115,Active,,,http://www.redfin.com/CA/Trabuco-Canyon/21392-Sleepy-Glen-Ln-92679/home/5091534,CRMLS,OC21166955,N,Y,33.6517002,-117.5756547
MLS Listing,,Single Family Residential,21211 Oakridge Ln,Rancho Santa Margarita,CA,92679,1005000,4,3.0,RR - Robinson Ranch,2453,5000,1987,22,410,159,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Trabuco-Canyon/21211-Oakridge-Ln-92679/home/5095700,CRMLS,OC21162996,N,Y,33.6544271,-117.5701979
MLS Listing,,Single Family Residential,21531 Partridge St,Trabuco Canyon,CA,92679,1535000,4,3.5,TC - Trabuco Canyon,3218,6500,1993,19,477,255,Active,August-22-2021 12:00 PM,August-22-2021 03:30 PM,http://www.redfin.com/CA/Trabuco-Canyon/21531-Partridge-St-92679/home/5098678,CRMLS,OC21141162,N,Y,33.6497331,-117.5722614
MLS Listing,,Single Family Residential,10 Calle Bieldo,Rancho Santa Margarita,CA,92688,918000,3,2.5,R2 - Rancho Santa Margarita Central,1602,4471,1989,12,573,71,Active,,,http://www.redfin.com/CA/Rancho-Santa-Margarita/10-Cll-Bieldo-92688/home/5096405,CRMLS,OC21176186,N,Y,33.6424905,-117.5852381
MLS Listing,,Single Family Residential,6 Paseo Azuceno,Rancho Santa Margarita,CA,92688,815000,3,2.5,R2 - Rancho Santa Margarita Central,1500,2800,1998,35,543,226,Active,August-22-2021 01:00 AM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Rancho-Santa-Margarita/6-Pso-Azuceno-92688/home/5089678,CRMLS,OC21157201,N,Y,33.6417035,-117.5892157
MLS Listing,,Single Family Residential,21561 Hummingbird St,Trabuco Canyon,CA,92679,1325000,4,3.5,TC - Trabuco Canyon,3222,5700,1995,14,411,270,Active,August-22-2021 11:00 AM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Trabuco-Canyon/21561-Hummingbird-St-92679/home/5098724,CRMLS,OC21174857,N,Y,33.6492613,-117.5704501
MLS Listing,,Single Family Residential,21341 Pinebluff Dr,Rancho Santa Margarita,CA,92679,1275000,4,2.5,RR - Robinson Ranch,2479,7000,1992,39,514,222,Active,,,http://www.redfin.com/CA/Trabuco-Canyon/21341-Pinebluff-Dr-92679/home/5098050,CRMLS,OC21154147,N,Y,33.6526826,-117.5633653
MLS Listing,,Single Family Residential,21485 Silvertree Ln,Rancho Santa Margarita,CA,92679,1250000,4,3.0,RR - Robinson Ranch,2730,6050,1990,18,458,222,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Trabuco-Canyon/21485-Silvertree-Ln-92679/home/5097916,CRMLS,DW21171799,N,Y,33.6503889,-117.563863
MLS Listing,,Single Family Residential,15 Berkshire,Rancho Santa Margarita,CA,92679,1195000,4,2.5,DC - Dove Canyon,2679,7000,1991,3,446,300,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Trabuco-Canyon/15-Berkshire-92679/home/5060187,CRMLS,OC21182937,N,Y,33.6384315,-117.5737747
MLS Listing,,Single Family Residential,6 Somerset,Rancho Santa Margarita,CA,92679,988000,4,2.5,DC - Dove Canyon,2000,4300,1993,2,494,300,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Dove-Canyon/6-Somerset-92679/home/5060003,CRMLS,OC21179113,N,Y,33.6370871,-117.5709775
MLS Listing,,Single Family Residential,6 Via Presea,Coto de Caza,CA,92679,3199000,5,5.5,CC - Coto De Caza,6038,235224,1989,10,530,340,Active,,,http://www.redfin.com/CA/Coto-De-Caza/6-Via-Presea-92679/home/5088863,CRMLS,OC21177631,N,Y,33.631621,-117.586969
MLS Listing,,Single Family Residential,44 Hillrise,Rancho Santa Margarita,CA,92679,1199000,4,2.75,DC - Dove Canyon,2940,7150,1996,17,408,300,Active,,,http://www.redfin.com/CA/Dove-Canyon/44-Hillrise-92679/home/5062597,CRMLS,OC21171056,N,Y,33.6402652,-117.5651537
