SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3610 S Ross St,Santa Ana,CA,92707,849500,4,2.5,69 - Santa Ana South of First,1800,4399,1970,11,472,,Active,,,http://www.redfin.com/CA/Santa-Ana/3610-S-Ross-St-92707/home/4525141,CRMLS,OC21176165,N,Y,33.6990761,-117.8732893
MLS Listing,,Single Family Residential,2701 W California St,Santa Ana,CA,92704,799000,3,2.0,69 - Santa Ana South of First,1526,8732,1959,1,524,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Santa-Ana/2701-W-California-St-92704/home/4510473,CRMLS,OC21184956,N,Y,33.7251516,-117.9052875
MLS Listing,,Single Family Residential,1079 W 2nd St,Santa Ana,CA,92703,670000,4,2.0,70 - Santa Ana North of First,1152,6250,1921,1,582,,Active,,,http://www.redfin.com/CA/Santa-Ana/1079-W-2nd-St-92703/home/4503105,CRMLS,PW21180911,N,Y,33.7464087,-117.8808888
MLS Listing,,Single Family Residential,3313 S Olive St,Santa Ana,CA,92707,865000,4,2.0,69 - Santa Ana South of First,1800,6500,1968,2,481,,Active,,,http://www.redfin.com/CA/Santa-Ana/3313-S-Olive-St-92707/home/4523233,CRMLS,TR21184486,N,Y,33.7032855,-117.8771957
MLS Listing,,Single Family Residential,2714 W Carlton Pl,Santa Ana,CA,92704,615000,3,1.5,69 - Santa Ana South of First,1474,6540,1959,2,417,,Active,,,http://www.redfin.com/CA/Santa-Ana/2714-W-Carlton-Pl-92704/home/4512818,CRMLS,PW21183589,N,Y,33.7223499,-117.9058825
MLS Listing,,Single Family Residential,1231 S Poplar St,Santa Ana,CA,92704,750000,3,2.0,69 - Santa Ana South of First,1044,6500,1957,2,718,,Active,August-22-2021 12:00 PM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Santa-Ana/1231-S-Poplar-St-92704/home/3536704,CRMLS,WS21184209,N,Y,33.7311393,-117.8868858
MLS Listing,,Single Family Residential,2384 N Heliotrope Dr,Santa Ana,CA,92706,995000,3,2.0,70 - Santa Ana North of First,1712,6600,1926,3,581,,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Santa-Ana/2384-Heliotrope-Dr-92706/home/3048673,CRMLS,PW21182337,N,Y,33.7687265,-117.8753494
MLS Listing,,Single Family Residential,12311 Circula Panorama,North Tustin,CA,92705,1499000,4,3.5,NTS - North Tustin,3452,8925,1990,3,434,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Santa-Ana/12311-Circula-Panorama-Pl-92705/home/3417830,CRMLS,PW21184039,N,Y,33.784348,-117.800656
MLS Listing,,Single Family Residential,3614 Ramona Dr,Santa Ana,CA,92707,899000,4,2.5,69 - Santa Ana South of First,1730,6208,1966,3,520,,Active,August-22-2021 01:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Santa-Ana/3614-Ramona-Dr-92707/home/4524789,CRMLS,NP21168987,N,Y,33.6991928,-117.8785294
MLS Listing,,Single Family Residential,3477 Windsor Ct,Costa Mesa,CA,92626,1100000,3,2.75,C3 - South Coast Metro,2594,4725,1979,3,424,170,Active,,,http://www.redfin.com/CA/Costa-Mesa/3477-Windsor-Ct-92626/home/4531984,CRMLS,OC21183339,N,Y,33.6945515,-117.9073015
MLS Listing,,Single Family Residential,4401 Roosevelt Ave,Santa Ana,CA,92703,775000,3,2.0,70 - Santa Ana North of First,1494,6000,1961,3,519,,Active,,,http://www.redfin.com/CA/Santa-Ana/4401-Roosevelt-Ave-92703/home/3483328,CRMLS,OC21183351,N,Y,33.7505316,-117.9278522
MLS Listing,,Single Family Residential,12382 Baja Panorama,North Tustin,CA,92705,1580000,3,2.5,NTS - North Tustin,2828,20416,1977,4,559,,Active,,,http://www.redfin.com/CA/Santa-Ana/12382-Baja-Panorama-92705/home/3417911,CRMLS,PW21182706,N,Y,33.7835667,-117.7985931
MLS Listing,,Single Family Residential,2017 Picasso,Santa Ana,CA,92704,1625000,4,3.5,69 - Santa Ana South of First,2890,4263,2019,4,562,190,Active,,,http://www.redfin.com/CA/SANTA-ANA/2017-PICASSO-92704/home/169471127,CRMLS,OC21181455,N,Y,33.701337,-117.896846
MLS Listing,,Single Family Residential,12352 Ranchwood Rd,North Tustin,CA,92705,1998000,5,3.75,NTS - North Tustin,3702,10900,1963,4,540,,Active,,,http://www.redfin.com/CA/Santa-Ana/12352-Ranchwood-Rd-92705/home/3499535,CRMLS,OC21174882,N,Y,33.7460805,-117.7889866
MLS Listing,,Single Family Residential,10891 Furlong Dr,North Tustin,CA,92705,1250000,4,3.0,NTS - North Tustin,3293,17135,1977,5,380,140,Active,,,http://www.redfin.com/CA/Santa-Ana/10891-Furlong-Dr-92705/home/4768040,CRMLS,PW21174470,N,Y,33.7667974,-117.7788869
MLS Listing,,Single Family Residential,4622 W Watkins Way,Santa Ana,CA,92704,749000,3,1.75,69 - Santa Ana South of First,988,14350,1945,5,758,,Active,,,http://www.redfin.com/CA/Santa-Ana/4622-W-Watkins-Way-92704/home/3521734,CRMLS,PW21180382,N,Y,33.7391552,-117.9311016
MLS Listing,,Single Family Residential,12902 Browning Ave,Santa Ana,CA,92705,949900,4,2.0,NTS - North Tustin,1584,8800,1958,5,600,,Active,,,http://www.redfin.com/CA/Santa-Ana/12902-Browning-Ave-92705/home/3499574,CRMLS,PW21170420,N,Y,33.7409947,-117.7963148
MLS Listing,,Single Family Residential,1217 S Huron Dr,Santa Ana,CA,92704,785000,4,2.0,69 - Santa Ana South of First,1361,6060,1962,5,577,,Active,,,http://www.redfin.com/CA/Santa-Ana/1217-S-Huron-Dr-92704/home/3538203,CRMLS,OC21181168,N,Y,33.7320795,-117.9070726
MLS Listing,,Single Family Residential,18161 Blue Ridge Dr,North Tustin,CA,92705,1495000,5,2.75,NTS - North Tustin,3357,14000,1963,5,445,,Active,,,http://www.redfin.com/CA/Santa-Ana/18161-Blue-Ridge-Dr-92705/home/4447194,CRMLS,PW21180927,N,Y,33.7687855,-117.815344
MLS Listing,,Single Family Residential,19212 Saint Marks Dr,North Tustin,CA,92705,1499999,4,3.25,NTS - North Tustin,3200,24000,1961,6,469,,Active,,,http://www.redfin.com/CA/North-Tustin/19212-Saint-Marks-Dr-92705/home/176128511,CRMLS,LG21180045,N,Y,33.7715227,-117.7984596
MLS Listing,,Single Family Residential,713 E Berkeley St,Santa Ana,CA,92707,644900,4,1.75,69 - Santa Ana South of First,1228,6832,1955,8,525,,Active,,,http://www.redfin.com/CA/Santa-Ana/713-E-Berkeley-St-92707/home/3086288,CRMLS,PW21145367,N,Y,33.7248369,-117.8608592
