SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6861 Via Kannela,Stanton,CA,90680,821000,3,2.0,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",1470,6000,1978,4,559,,Active,,,http://www.redfin.com/CA/Stanton/6861-Via-Kannela-90680/home/3672173,CRMLS,PW21183207,N,Y,33.8055487,-118.0136454
MLS Listing,,Single Family Residential,10624 Hamden Ave,Stanton,CA,90680,729000,3,2.0,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",1205,6435,1959,5,605,,Active,,,http://www.redfin.com/CA/Stanton/10624-Hamden-Ave-90680/home/3352789,CRMLS,PW21181313,N,Y,33.8077505,-118.0051823
MLS Listing,,Single Family Residential,10379 Ryan St #1,Stanton,CA,90680,715000,3,2.5,699 - Not Defined,1749,9999,2006,7,409,89,Active,,,http://www.redfin.com/CA/Stanton/10379-Ryan-St-90680/unit-1/home/21928632,CRMLS,OC21180216,N,Y,33.8119061,-117.9956904
MLS Listing,,Single Family Residential,10900 Shoals Pl,Stanton,CA,90680,788000,4,3.5,699 - Not Defined,1924,1250,2021,17,410,137,Active,,,http://www.redfin.com/CA/Stanton/10900-Shoals-PL-90680/home/175989699,CRMLS,OC21172677,N,Y,33.8024822,-117.9930967
MLS Listing,,Single Family Residential,10711 Pamela St,Cypress,CA,90630,899900,4,2.0,80 - Cypress North of Katella,1635,6600,1965,19,550,,Active,,,http://www.redfin.com/CA/Cypress/10711-Pamela-St-90630/home/3669730,CRMLS,OC21170045,N,Y,33.8069568,-118.012822
MLS Listing,,Single Family Residential,12191 Santa Rosalia St,Garden Grove,CA,92841,938800,6,4.0,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",1888,7202,1958,33,497,,Active,August-22-2021 02:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Garden-Grove/12191-Santa-Rosalia-St-92841/home/3635869,CRMLS,PW21157258,N,Y,33.7853574,-117.9985031
MLS Listing,,Single Family Residential,10812 Harcourt Ave,Anaheim,CA,92804,1200000,5,2.25,79 - Anaheim West of Harbor,1746,11142,1930,39,687,,Active,,,http://www.redfin.com/CA/Anaheim/10812-Harcourt-Ave-92804/home/3598145,CRMLS,PW21142713,N,Y,33.8053662,-117.9686125
MLS Listing,,Single Family Residential,10760 Elm Cir,Stanton,CA,90680,820000,4,3.5,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",1889,3234,2002,51,434,76,Active,,,http://www.redfin.com/CA/Stanton/10760-Elm-Cir-90680/home/5890307,CRMLS,PW21144056,N,Y,33.805917,-117.9980913
MLS Listing,,Single Family Residential,12302 Santa Rosalia St,Garden Grove,CA,92841,797000,4,2.0,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",1281,7475,1958,99,622,,Active,,,http://www.redfin.com/CA/Garden-Grove/12302-Santa-Rosalia-St-92841/home/3635666,CRMLS,OC21104139,N,Y,33.7836947,-117.9979083
MLS Listing,,Single Family Residential,12351 Georgian St,Garden Grove,CA,92841,1100000,5,3.0,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",2478,9300,1958,759,444,,Active,,,http://www.redfin.com/CA/Garden-Grove/12351-Georgian-St-92841/home/3635773,CRMLS,OC19176727,N,Y,33.7832148,-117.9956895
New Construction Plan,,Single Family Residential,Plan 1924 Modeled,Stanton,CA,90680,799990,4,3.5,Lighthouse,1924,,,,416,,Active,,,http://www.redfin.com/CA/Stanton/Lighthouse/Plan-1924-Modeled/home/174611873,NewHomeSource.com,Plan-161882073,N,Y,33.804363,-118.002716
New Construction Plan,,Single Family Residential,Plan 1754,Stanton,CA,90680,759990,3,2.5,Lighthouse,1754,,,,433,,Active,,,http://www.redfin.com/CA/Stanton/Lighthouse/Plan-1754/home/174611874,NewHomeSource.com,Plan-161882072,N,Y,33.804363,-118.002716
