SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,17355 Summer Oak Pl,Yorba Linda,CA,92886,999000,4,3.0,85 - Yorba Linda,2383,5824,1991,10,419,77,Active,,,http://www.redfin.com/CA/Yorba-Linda/17355-Summer-Oak-Pl-92886/home/4225386,CRMLS,OC21178033,N,Y,33.875143,-117.8302499
MLS Listing,,Single Family Residential,107 Mission Way,Placentia,CA,92870,1199000,4,4.25,84 - Placentia,3560,7200,1999,2,337,,Active,,,http://www.redfin.com/CA/Placentia/107-Mission-Way-92870/home/4213543,CRMLS,OC21171983,N,Y,33.8718536,-117.8587532
MLS Listing,,Single Family Residential,101 S Main St,Placentia,CA,92870,569000,2,1.0,699 - Not Defined,792,3322,1949,3,718,,Active,,,http://www.redfin.com/CA/Placentia/101-S-Main-St-92870/home/4201889,CRMLS,CV21184026,N,Y,33.8723044,-117.8717785
MLS Listing,,Single Family Residential,1390 Tartan Cir,Placentia,CA,92870,975000,4,3.0,84 - Placentia,2501,7920,1964,4,390,,Active,,,http://www.redfin.com/CA/Placentia/1390-Tartan-Cir-92870/home/4203206,CRMLS,DW21180336,N,Y,33.8862965,-117.8540144
MLS Listing,,Single Family Residential,1845 Taft Ln,Placentia,CA,92870,770000,3,2.5,84 - Placentia,1449,4366,1996,4,531,100,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Placentia/1845-E-Taft-Ln-92870/home/4236426,CRMLS,PW21174976,N,Y,33.8686287,-117.8242351
MLS Listing,,Single Family Residential,344 Montessori Ave,Placentia,CA,92870,899988,4,2.5,84 - Placentia,2016,7000,1976,5,446,,Active,August-22-2021 10:00 AM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Placentia/344-Montessori-Ave-92870/home/4181522,CRMLS,PW21182066,N,Y,33.9019747,-117.8700845
MLS Listing,,Single Family Residential,801 Ohio Ave,Placentia,CA,92870,699900,4,2.0,84 - Placentia,1212,6000,1955,5,577,,Active,,,http://www.redfin.com/CA/Placentia/801-Ohio-Ave-92870/home/4236891,CRMLS,IV21181952,N,Y,33.8601179,-117.880843
MLS Listing,,Single Family Residential,312 Lavender Ln,Placentia,CA,92870,799900,4,2.0,84 - Placentia,1644,7130,1973,5,487,,Active,,,http://www.redfin.com/CA/Placentia/312-Lavender-Ln-92870/home/4208921,CRMLS,PW21181940,N,Y,33.8794167,-117.8630798
MLS Listing,,Single Family Residential,401 Cottam Pl,Placentia,CA,92870,950000,5,3.0,84 - Placentia,2291,5295,1997,5,415,40,Active,,,http://www.redfin.com/CA/Placentia/401-E-Cottam-Pl-92870/home/4218061,CRMLS,PW21181285,N,Y,33.8744275,-117.8612942
MLS Listing,,Single Family Residential,613 Joan Way,Placentia,CA,92870,1100000,4,3.0,84 - Placentia,2352,7000,1963,7,468,,Active,,,http://www.redfin.com/CA/Placentia/613-Joan-Way-92870/home/4193820,CRMLS,SB21180256,N,Y,33.8947146,-117.8751205
