SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1224 Frances Ave,Fullerton,CA,92831,1150000,3,2.5,83 - Fullerton,1752,6384,1960,3,656,,Active,August-22-2021 10:00 AM,August-22-2021 02:00 PM,http://www.redfin.com/CA/Fullerton/1224-Frances-Ave-92831/home/4076977,CRMLS,OC21182734,N,Y,33.8825141,-117.9185154
MLS Listing,,Single Family Residential,215 N Princeton Ave,Fullerton,CA,92831,638000,3,2.0,83 - Fullerton,1888,6250,1949,1,338,,Active,,,http://www.redfin.com/CA/Fullerton/215-N-Princeton-Ave-92831/home/3186786,CRMLS,DW21185645,N,Y,33.873011,-117.913304
MLS Listing,,Single Family Residential,4207 W Porter Ave,Fullerton,CA,92833,590000,3,1.75,83 - Fullerton,1245,6000,1961,2,474,,Active,August-22-2021 03:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Fullerton/4207-W-Porter-Ave-92833/home/3310712,CRMLS,OC21182128,N,Y,33.8610227,-117.9816665
MLS Listing,,Single Family Residential,216 W Whiting Ave,Fullerton,CA,92832,724000,2,1.0,83 - Fullerton,880,7000,1919,2,823,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/216-W-Whiting-Ave-92832/home/3182841,CRMLS,PW21182710,N,Y,33.8731493,-117.9272114
MLS Listing,,Single Family Residential,2842 Treeview Pl,Fullerton,CA,92835,950000,4,2.25,83 - Fullerton,2000,7200,1977,2,475,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/2842-Treeview-Pl-92835/home/4193555,CRMLS,PW21183484,N,Y,33.9028405,-117.8786914
MLS Listing,,Single Family Residential,1013 El Dorado Dr,Fullerton,CA,92835,850000,2,1.75,83 - Fullerton,1563,8755,1958,2,544,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/1013-N-El-Dorado-Dr-92835/home/3155579,CRMLS,PW21184426,N,Y,33.8819264,-117.9313288
MLS Listing,,Single Family Residential,304 N Sweet Ave,Fullerton,CA,92833,789000,3,2.0,83 - Fullerton,1275,7172,1954,3,619,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/304-N-Sweet-Ave-92833/home/3175566,CRMLS,PW21181236,N,Y,33.8727275,-117.944648
MLS Listing,,Single Family Residential,2305 W Olive Ave,Fullerton,CA,92833,799999,3,2.0,83 - Fullerton,1485,8514,1964,3,539,,Active,,,http://www.redfin.com/CA/Fullerton/2305-W-Olive-Ave-92833/home/3167621,CRMLS,DW21183866,N,Y,33.8625852,-117.9684433
MLS Listing,,Single Family Residential,630 W Elm Ave,Fullerton,CA,92832,650000,3,1.75,83 - Fullerton,1176,6030,1953,3,553,,Active,,,http://www.redfin.com/CA/Fullerton/630-W-Elm-Ave-92832/home/3175353,CRMLS,EV21180397,N,Y,33.8638209,-117.9364105
MLS Listing,,Single Family Residential,344 Montessori Ave,Placentia,CA,92870,899988,4,2.5,84 - Placentia,2016,7000,1976,5,446,,Active,August-22-2021 10:00 AM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Placentia/344-Montessori-Ave-92870/home/4181522,CRMLS,PW21182066,N,Y,33.9019747,-117.8700845
MLS Listing,,Single Family Residential,601 S Pine Dr,Fullerton,CA,92833,699900,4,2.0,83 - Fullerton,1157,6000,1954,5,605,,Active,,,http://www.redfin.com/CA/Fullerton/601-S-Pine-Dr-92833/home/3168554,CRMLS,RS21181520,N,Y,33.8639798,-117.9673451
MLS Listing,,Single Family Residential,2607 Shawn Ln,Fullerton,CA,92831,899000,4,2.0,83 - Fullerton,1459,8690,1963,5,616,,Active,,,http://www.redfin.com/CA/Fullerton/2607-Shawn-Ln-92831/home/3161991,CRMLS,OC21181507,N,Y,33.8940059,-117.8824453
MLS Listing,,Single Family Residential,622 Tangelo Way,Fullerton,CA,92832,1050000,4,2.75,83 - Fullerton,2381,2894,2014,5,441,118,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/622-Tangelo-Way-92832/home/58551388,CRMLS,RS21180862,N,Y,33.8641107,-117.9411242
MLS Listing,,Single Family Residential,407 Jacaranda Pl,Fullerton,CA,92832,779000,2,2.0,83 - Fullerton,1120,3900,1924,5,696,,Active,,,http://www.redfin.com/CA/Fullerton/407-Jacaranda-Pl-92832/home/3181284,CRMLS,PW21180915,N,Y,33.8746668,-117.9312618
MLS Listing,,Single Family Residential,613 Joan Way,Placentia,CA,92870,1100000,4,3.0,84 - Placentia,2352,7000,1963,7,468,,Active,,,http://www.redfin.com/CA/Placentia/613-Joan-Way-92870/home/4193820,CRMLS,SB21180256,N,Y,33.8947146,-117.8751205
MLS Listing,,Single Family Residential,1790 N Mountain View Pl,Fullerton,CA,92831,1345000,4,3.0,83 - Fullerton,3007,12632,1975,9,447,105,Active,,,http://www.redfin.com/CA/Fullerton/1790-N-Mountain-View-Pl-92831/home/4076258,PFAR,P1-6202,N,Y,33.8876928,-117.8924706
MLS Listing,,Single Family Residential,1360 N Ferndale St,Anaheim,CA,92801,698000,4,2.0,79 - Anaheim West of Harbor,1307,6447,1954,9,534,,Active,,,http://www.redfin.com/CA/Anaheim/1360-N-Ferndale-St-92801/home/3316476,CRMLS,PW21178865,N,Y,33.8535523,-117.9685805
MLS Listing,,Single Family Residential,2297 Ardemore Dr,Fullerton,CA,92833,1148000,4,3.0,83 - Fullerton,2293,11200,1981,10,501,130,Active,,,http://www.redfin.com/CA/Fullerton/2297-Ardemore-Dr-92833/home/4093493,CRMLS,PW21178593,N,Y,33.9011968,-117.9561342
MLS Listing,,Single Family Residential,1225 Lenahan St,Fullerton,CA,92833,1195000,4,3.0,83 - Fullerton,2588,3738,2002,10,462,158,Active,,,http://www.redfin.com/CA/Fullerton/1225-Lenahan-St-92833/home/5890682,CRMLS,PW21176958,N,Y,33.882089,-117.9603441
MLS Listing,,Single Family Residential,312 N Orchard Ave,Fullerton,CA,92833,749900,3,1.5,83 - Fullerton,1600,7193,1954,10,469,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/312-N-Orchard-Ave-92833/home/3175062,CRMLS,PW21178181,N,Y,33.8729466,-117.9464557
MLS Listing,,Single Family Residential,727 W Las Palmas Dr,Fullerton,CA,92835,3450000,4,5.5,83 - Fullerton,6687,34848,2006,10,516,,Active,,,http://www.redfin.com/CA/Fullerton/727-W-Las-Palmas-Dr-92835/home/4106621,CRMLS,CV21177374,N,Y,33.9096098,-117.9414217
MLS Listing,,Single Family Residential,2800 Woodbine Ave,Fullerton,CA,92835,899000,4,2.75,83 - Fullerton,1999,10000,1960,10,450,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/2800-Woodbine-Ave-92835/home/4080035,CRMLS,PW21176388,N,Y,33.901482,-117.9025182
MLS Listing,,Single Family Residential,612 Princeton Cir W,Fullerton,CA,92831,879999,3,2.0,83 - Fullerton,2159,6124,1950,10,408,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/612-Princeton-Cir-W-92831/home/3157727,CRMLS,RS21178073,N,Y,33.8773346,-117.9135036
MLS Listing,,Single Family Residential,1451 N Richman Knl,Fullerton,CA,92835,3495000,4,4.0,83 - Fullerton,3144,102540,1950,10,1112,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fullerton/1451-N-Richman-Knl-92835/home/4072172,CRMLS,PW21177782,N,Y,33.8887985,-117.9418565
