SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2501 Ocean Blvd,Corona del Mar,CA,92625,19995000,3,3.5,CS - Corona Del Mar - Spyglass,4081,5090,1949,4,4900,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/2501-Ocean-Blvd-92625/home/3254161,CRMLS,OC21182492,N,Y,33.5981615,-117.879172
MLS Listing,,Single Family Residential,1927 Kewamee Dr,Corona del Mar,CA,92625,4800000,4,3.5,CS - Corona Del Mar - Spyglass,2963,8000,1957,5,1620,48,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/1927-Kewamee-Dr-92625/home/3253084,CRMLS,NP21175165,N,Y,33.6053711,-117.8793552
MLS Listing,,Single Family Residential,2290 Channel Rd,Newport Beach,CA,92661,10650000,4,4.0,NP - Balboa Peninsula,3418,4000,1963,11,3116,,Active,,,http://www.redfin.com/CA/Newport-Beach/2290-Channel-Rd-92661/home/3241534,CRMLS,NP21165282,N,Y,33.5962234,-117.882079
MLS Listing,,Single Family Residential,2 Jetty Dr,Corona del Mar,CA,92625,2150000,2,2.0,CS - Corona Del Mar - Spyglass,1917,6822,1977,18,1122,690,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/2-Jetty-Dr-92625/home/4714171,CRMLS,OC21171353,N,Y,33.6078101,-117.8638123
MLS Listing,,Single Family Residential,23 Curl Dr,Corona del Mar,CA,92625,2249000,2,2.0,CS - Corona Del Mar - Spyglass,1917,7116,1977,30,1173,690,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/23-Curl-Dr-92625/home/4720514,CRMLS,OC21161214,N,Y,33.605765,-117.863678
MLS Listing,,Single Family Residential,616 Poppy Ave,Corona del Mar,CA,92625,4195000,5,3.5,CS - Corona Del Mar - Spyglass,3759,8000,1984,37,1116,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/616-Poppy-Ave-92625/home/4730282,CRMLS,NP21156062,N,Y,33.5959474,-117.8643617
MLS Listing,,Single Family Residential,215 Milford Dr,Corona Del Mar,CA,92625,5299000,4,6.0,Corona Del Mar - Spyglass,6500,15084,1960,45,815,138,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/215-Milford-Dr-92625/home/4748131,TheMLS,21-758142,N,Y,33.5889234,-117.8641557
MLS Listing,,Single Family Residential,325 Marigold Ave,Corona del Mar,CA,92625,6995000,5,5.5,CS - Corona Del Mar - Spyglass,4796,5310,2016,46,1459,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/325-Marigold-Ave-92625/home/3255676,CRMLS,PW21140752,N,Y,33.5952901,-117.8708628
MLS Listing,,Single Family Residential,3631 Ocean Blvd,Corona del Mar,CA,92625,22900000,4,4.0,CS - Corona Del Mar - Spyglass,5678,7888,2008,52,4033,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/3631-Ocean-Blvd-92625/home/3256297,CRMLS,NP21143800,N,Y,33.5913847,-117.8706797
MLS Listing,,Single Family Residential,2319 Bayside Dr,Corona del Mar,CA,92625,12400000,4,5.0,CS - Corona Del Mar - Spyglass,6437,8930,2012,63,1926,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/2319-Bayside-Dr-92625/home/3254126,CRMLS,NP21133621,N,Y,33.6000994,-117.8792407
MLS Listing,,Single Family Residential,301 Carnation Ave,Corona del Mar,CA,92625,18995000,5,5.5,CS - Corona Del Mar - Spyglass,5008,8500,2015,65,3793,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/301-Carnation-Ave-92625/home/3254159,CRMLS,NP21132298,N,Y,33.5993331,-117.8784167
MLS Listing,,Single Family Residential,215 Larkspur Ave,Corona del Mar,CA,92625,7595000,4,5.5,CS - Corona Del Mar - Spyglass,4307,4720,2009,76,1763,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Corona-Del-Mar/215-Larkspur-Ave-92625/home/3255706,CRMLS,NP21121019,N,Y,33.5949567,-117.8738844
MLS Listing,,Single Family Residential,216 Marguerite Ave #1,Corona del Mar,CA,92625,3100000,3,3.0,CS - Corona Del Mar - Spyglass,2682,5310,1981,76,1156,,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/216-Marguerite-Ave-92625/unit-1/home/5228779,CRMLS,NP21119915,N,Y,33.594321,-117.872422
MLS Listing,,Single Family Residential,3200 Breakers Dr,Corona del Mar,CA,92625,17950000,5,5.5,CS - Corona Del Mar - Spyglass,4979,7228,2017,109,3605,100,Active,,,http://www.redfin.com/CA/Corona-Del-Mar/3200-Breakers-Dr-92625/home/3255787,CRMLS,OC21087541,N,Y,33.5938374,-117.8743422
