SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,34441 Via Gomez,Dana Point,CA,92624,1999999,3,3.0,CB - Capistrano Beach,4201,5200,2006,13,476,,Active,,,http://www.redfin.com/CA/Dana-Point/34441-Via-Gomez-92624/home/5004501,CRMLS,OC21173434,N,Y,33.4623109,-117.669129
MLS Listing,,Single Family Residential,33091 Big Sur St,Dana Point,CA,92629,1195000,3,2.0,DO - Del Obispo,1620,7245,1962,2,738,,Active,August-22-2021 12:00 PM,August-22-2021 02:00 PM,http://www.redfin.com/CA/Dana-Point/33091-Big-Sur-St-92629/home/4966718,CRMLS,OC21183986,N,Y,33.4823142,-117.6892023
MLS Listing,,Single Family Residential,24351 Titus Dr,Dana Point,CA,92629,1525000,4,2.5,DH - Dana Hills,2376,6825,1984,3,642,,Active,August-22-2021 11:00 AM,August-22-2021 02:00 PM,http://www.redfin.com/CA/Dana-Point/24351-Titus-Dr-92629/home/4967104,CRMLS,NP21150452,N,Y,33.4865779,-117.7048286
MLS Listing,,Single Family Residential,33801 El Encanto,Dana Point,CA,92629,3250500,5,4.5,LT - Lantern Village,3300,4750,1963,4,985,,Active,,,http://www.redfin.com/CA/Dana-Point/33801-El-Encanto-Ave-92629/home/4984237,CRMLS,OC21182683,N,Y,33.4717668,-117.7027666
MLS Listing,,Single Family Residential,34521 Via Catalina Unit A & B,Dana Point,CA,92624,2195000,7,5.0,CB - Capistrano Beach,3689,6534,1945,5,595,,Active,,,http://www.redfin.com/CA/Dana-Point/34521-Via-Catalina-92624/unit-A-B/home/176139466,CRMLS,LG21181819,N,Y,33.4612721,-117.672933
MLS Listing,,Single Family Residential,24602 Jeremiah Dr,Dana Point,CA,92629,1325000,4,2.5,DH - Dana Hills,2067,5880,1983,5,641,,Active,August-22-2021 11:00 AM,August-22-2021 02:00 PM,http://www.redfin.com/CA/Dana-Point/24602-Jeremiah-Dr-92629/home/4966963,CRMLS,NP21178287,N,Y,33.4860966,-117.7004966
MLS Listing,,Single Family Residential,33925 Cape Cv,Dana Point,CA,92629,1795000,3,2.5,MB - Monarch Beach,2005,,1979,8,895,460,Active,,,http://www.redfin.com/CA/Dana-Point/33925-Cape-Cv-92629/home/4959125,CRMLS,OC21168151,N,Y,33.4700009,-117.7117478
MLS Listing,,Single Family Residential,53 Ritz Cv,Dana Point,CA,92629,9995000,4,6.0,MB - Monarch Beach,6027,11200,2021,9,1658,725,Active,,,http://www.redfin.com/CA/Dana-Point/53-Ritz-Cove-Dr-92629/home/4960852,CRMLS,OC21148120,N,Y,33.4804419,-117.721763
MLS Listing,,Single Family Residential,35 Regina,Dana Point,CA,92629,1271000,3,2.5,MB - Monarch Beach,1890,4200,1994,9,672,308,Active,,,http://www.redfin.com/CA/Dana-Point/35-Regina-92629/home/4961455,CRMLS,OC21178290,N,Y,33.4858073,-117.7073489
MLS Listing,,Single Family Residential,35391 Beach Rd,Dana Point,CA,92624,4475000,3,2.5,CB - Capistrano Beach,3043,5398,1987,15,1471,95,Active,,,http://www.redfin.com/CA/Dana-Point/35391-Beach-Rd-92624/home/5001079,CRMLS,CV21174387,N,Y,33.449316,-117.657083
MLS Listing,,Single Family Residential,35535 Beach Rd,Dana Point,CA,92624,4150000,2,2.0,CB - Capistrano Beach,1740,3321,1964,16,2385,90,Active,,,http://www.redfin.com/CA/Dana-Point/35535-Beach-Rd-92624/home/5820009,CRMLS,OC21173639,N,Y,33.447476,-117.654204
MLS Listing,,Single Family Residential,33661 Flying Jib Dr,Dana Point,CA,92629,2295000,3,2.5,MB - Monarch Beach,2179,4510,1973,16,1053,335,Active,,,http://www.redfin.com/CA/Dana-Point/33661-Flying-Jib-Dr-92629/home/4956156,CRMLS,LG21172820,N,Y,33.4741149,-117.7076616
MLS Listing,,Single Family Residential,32765 Matthew Dr,Dana Point,CA,92629,1449000,4,3.0,DH - Dana Hills,2455,7770,1985,18,590,,Active,August-22-2021 11:00 AM,August-22-2021 02:00 PM,http://www.redfin.com/CA/Dana-Point/32765-Matthew-Dr-92629/home/4967738,CRMLS,OC21171755,N,Y,33.4870563,-117.7039351
MLS Listing,,Single Family Residential,34820 Calle Del Sol,Dana Point,CA,92624,1749000,4,3.0,CB - Capistrano Beach,2391,7865,1954,18,731,,Active,,,http://www.redfin.com/CA/Dana-Point/34820-Calle-Del-Sol-92624/home/3571335,CRMLS,OC21171165,N,Y,33.4578369,-117.6629645
MLS Listing,,Single Family Residential,35787 Beach Rd,Dana Point,CA,92624,7500000,4,3.0,CB - Capistrano Beach,2796,4633,1954,18,2682,118,Active,,,http://www.redfin.com/CA/Dana-Point/35787-Beach-Rd-92624/home/5003226,CRMLS,OC21170662,N,Y,33.4425541,-117.6478206
MLS Listing,,Single Family Residential,24701 Camarillo St,Dana Point,CA,92629,1399000,4,2.5,DH - Dana Hills,2105,7130,1971,19,665,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Dana-Point/24701-Camarillo-St-92629/home/4964001,PFAR,P1-6009,N,Y,33.4804735,-117.6988485
MLS Listing,,Single Family Residential,23965 Leeward Dr,Dana Point,CA,92629,2425000,3,2.5,MB - Monarch Beach,2243,8036,1972,19,1081,300,Active,,,http://www.redfin.com/CA/Dana-Point/23965-Leeward-Dr-92629/home/4957450,CRMLS,OC21170115,N,Y,33.4787226,-117.7114271
MLS Listing,,Single Family Residential,7 Antigua,Dana Point,CA,92629,1350000,3,2.5,MB - Monarch Beach,1955,2800,1989,20,691,325,Active,,,http://www.redfin.com/CA/Dana-Point/7-Antigua-92629/home/4960615,CRMLS,LG21169276,N,Y,33.4848008,-117.7076697
MLS Listing,,Single Family Residential,372 Plaza Estival,San Clemente,CA,92672,794000,3,2.5,SN - San Clemente North,1651,1575,1977,20,481,325,Active,,,http://www.redfin.com/CA/San-Clemente/372-Plaza-Estival-92672/home/4999128,CRMLS,OC21169061,N,Y,33.454349,-117.6558488
MLS Listing,,Single Family Residential,35381 Beach Rd,Dana Point,CA,92624,5995000,4,4.0,CB - Capistrano Beach,3789,4738,1995,23,1582,118,Active,,,http://www.redfin.com/CA/Dana-Point/35381-Beach-Rd-92624/home/5000564,CRMLS,OC21165000,N,Y,33.449438,-117.657295
MLS Listing,,Single Family Residential,34551 Scenic Dr,Dana Point,CA,92629,18000000,8,5.75,LT - Lantern Village,4500,42192,1939,30,4000,,Active,,,http://www.redfin.com/CA/Dana-Point/34551-Scenic-Dr-92629/home/21937259,CRMLS,NP21162379,N,Y,33.4606675,-117.7111068
MLS Listing,,Single Family Residential,35527 Beach Rd,Dana Point,CA,92624,6950000,5,4.5,CB - Capistrano Beach,3986,4983,1991,30,1744,118,Active,,,http://www.redfin.com/CA/Dana-Point/35527-Beach-Rd-92624/home/5001093,CRMLS,OC21156136,N,Y,33.447655,-117.654335
MLS Listing,,Single Family Residential,35067 Beach Rd,Dana Point,CA,92624,3998000,6,3.5,CB - Capistrano Beach,3000,6534,1963,33,1333,95,Active,,,http://www.redfin.com/CA/Dana-Point/35067-Beach-Rd-92624/home/5000485,CRMLS,OC21158724,N,Y,33.4533092,-117.6652333
MLS Listing,,Single Family Residential,32702 Seven Seas Dr,Dana Point,CA,92629,3750000,5,5.5,MB - Monarch Beach,3867,14797,1962,43,970,,Active,,,http://www.redfin.com/CA/Dana-Point/32702-7-Seas-Dr-92629/home/4954478,CRMLS,OC21150544,N,Y,33.4887784,-117.7279679
MLS Listing,,Single Family Residential,34691 Calle Rosita,Dana Point,CA,92624,1999000,4,3.0,CB - Capistrano Beach,3297,6812,1971,45,606,,Active,,,http://www.redfin.com/CA/Dana-Point/34691-Calle-Rosita-92624/home/3571445,CRMLS,OC21149068,N,Y,33.4588764,-117.6632625
MLS Listing,,Single Family Residential,33944 Calle La Primavera,Dana Point,CA,92629,1550000,3,2.5,LT - Lantern Village,2468,2100,1990,45,628,300,Active,,,http://www.redfin.com/CA/Dana-Point/33944-Calle-La-Primavera-92629/home/4986639,CRMLS,PW21146038,N,Y,33.469645,-117.688847
MLS Listing,,Single Family Residential,33811 Chula Vista Ave,Dana Point,CA,92624,3499999,4,3.25,LT - Lantern Village,4109,6000,1982,46,852,,Active,August-22-2021 03:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Dana-Point/33811-Chula-Vista-Ave-92629/home/4984202,CRMLS,OC21147227,N,Y,33.4716377,-117.7064783
MLS Listing,,Single Family Residential,36 Ritz Cove Dr,Dana Point,CA,92629,8495000,4,4.5,MB - Monarch Beach,4730,7161,2001,51,1796,725,Active,,,http://www.redfin.com/CA/Dana-Point/36-Ritz-Cove-Dr-92629/home/4960768,CRMLS,OC21142788,N,Y,33.4778174,-117.7209353
MLS Listing,,Single Family Residential,92 S La Senda Dr,Laguna Beach,CA,92651,10950000,4,4.0,SL - South Laguna,5400,8284,2005,58,2028,252,Active,,,http://www.redfin.com/CA/Laguna-Beach/92-S-La-Senda-Dr-92651/home/3267504,CRMLS,LG21136390,N,Y,33.4869242,-117.7329619
MLS Listing,,Single Family Residential,23512 Seaward Isle,Dana Point,CA,92629,9995000,5,7.5,MB - Monarch Beach,6097,8424,2019,66,1639,305,Active,,,http://www.redfin.com/CA/Dana-Point/23512-Seaward-Isle-92629/home/4956412,CRMLS,LG21131611,N,Y,33.4734876,-117.7189645
MLS Listing,,Single Family Residential,33 Monarch Bay Dr,Dana Point,CA,92629,20995000,5,6.0,MB - Monarch Beach,10900,18400,2003,75,1926,,Active,,,http://www.redfin.com/CA/Dana-Point/33-Monarch-Bay-Dr-92629/home/4954987,CRMLS,LG21123419,N,Y,33.48425,-117.7265704
MLS Listing,,Single Family Residential,34055 Crystal Lantern St,Dana Point,CA,92629,1395000,3,3.0,LT - Lantern Village,2100,2250,1988,76,664,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Dana-Point/34055-Crystal-Lantern-92629/home/4985704,CRMLS,OC21122300,N,Y,33.4682948,-117.6902105
MLS Listing,,Single Family Residential,33011 Buccaneer St,Dana Point,CA,92629,1150000,4,2.5,DH - Dana Hills,2000,5600,1976,78,575,,Active,August-22-2021 02:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Dana-Point/33011-Buccaneer-St-92629/home/4964904,CRMLS,OC21121464,N,Y,33.4833541,-117.7064208
MLS Listing,,Single Family Residential,22802 Seaway Dr,Laguna Niguel,CA,92677,5780000,5,4.5,LNSMT - Summit,5400,11250,1992,81,1070,425,Active,,,http://www.redfin.com/CA/Laguna-Niguel/22802-Seaway-Dr-92677/home/4940482,CRMLS,OC21119057,N,Y,33.499111,-117.7312438
