SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2 Windemere Ct,Newport Coast,CA,92657,7500000,5,4.5,N26 - Newport Coast,5367,14000,1993,3,1397,863,Active,,,http://www.redfin.com/CA/Newport-Coast/2-Windemere-Ct-92657/home/4749189,CRMLS,OC21183214,N,Y,33.5966417,-117.8314633
MLS Listing,,Single Family Residential,27 Tide Watch,Newport Coast,CA,92657,11500000,6,6.0,CR - Crystal Cove,6427,24324,2008,4,1789,760,Active,,,http://www.redfin.com/CA/Newport-Coast/27-Tide-Watch-92657/home/7202867,CRMLS,NP21181942,N,Y,33.584073,-117.8233809
MLS Listing,,Single Family Residential,7 Montreaux,Newport Coast,CA,92657,2295000,5,3.0,N26 - Newport Coast,2719,5040,1994,5,844,285,Active,August-22-2021 01:00 PM,August-22-2021 04:30 PM,http://www.redfin.com/CA/Newport-Beach/7-Montreaux-92657/home/4735761,CRMLS,OC21178371,N,Y,33.6116442,-117.8383091
MLS Listing,,Single Family Residential,1 Coastal Oak,Newport Coast,CA,92657,3595000,4,4.5,N26 - Newport Coast,3858,7142,2004,7,932,485,Active,,,http://www.redfin.com/CA/Newport-Beach/1-Coastal-Oak-92657/home/5928470,CRMLS,OC21180401,N,Y,33.5998946,-117.8084745
MLS Listing,,Single Family Residential,3 Sundial,Newport Coast,CA,92657,3650000,4,3.5,N26 - Newport Coast,3631,6439,2005,18,1005,485,Active,,,http://www.redfin.com/CA/Newport-Beach/3-Sundial-92657/home/5928645,CRMLS,OC21171255,N,Y,33.5991272,-117.8052457
MLS Listing,,Single Family Residential,16 Eucalyptus,Newport Coast,CA,92657,3999000,4,4.5,N26 - Newport Coast,3515,7791,2005,25,1138,485,Active,,,http://www.redfin.com/CA/Newport-Coast/16-Eucalyptus-92657/home/5928993,CRMLS,OC21162995,N,Y,33.6048043,-117.8077949
MLS Listing,,Single Family Residential,1 Pelican Crest Dr,Newport Coast,CA,92657,45000000,7,9.5,N26 - Newport Coast,13437,31651,2010,45,3349,848,Active,,,http://www.redfin.com/CA/Newport-Coast/1-Pelican-Crest-Dr-92657/home/4747378,CRMLS,OC21140960,N,Y,33.5949913,-117.8452003
MLS Listing,,Single Family Residential,19 Dorian,Newport Coast,CA,92657,1895000,4,2.5,N26 - Newport Coast,2498,3956,1995,46,759,389,Active,,,http://www.redfin.com/CA/Newport-Coast/19-Dorian-92657/home/4737188,CRMLS,OC21147298,N,Y,33.6084421,-117.830433
MLS Listing,,Single Family Residential,16 Morning View Dr,Newport Coast,CA,92657,5388000,4,4.25,N26 - Newport Coast,5392,15000,1993,47,999,505,Active,,,http://www.redfin.com/CA/Newport-Coast/16-Morning-View-Dr-92657/home/4749196,CRMLS,OC21145898,N,Y,33.5956105,-117.8307307
MLS Listing,,Single Family Residential,15 Ocean Ridge Dr,Newport Coast,CA,92657,7688000,6,6.5,N26 - Newport Coast,6425,17325,1997,48,1197,573,Active,,,http://www.redfin.com/CA/Newport-Coast/15-Ocean-Ridge-Dr-92657/home/4749208,CRMLS,NP21115287,N,Y,33.5976886,-117.8341192
MLS Listing,,Single Family Residential,16 Castellina Dr,Newport Coast,CA,92657,3980000,3,3.5,N26 - Newport Coast,3677,8913,1999,51,1082,728,Active,,,http://www.redfin.com/CA/Newport-Coast/16-Castellina-Dr-92657/home/5768097,CRMLS,PW21130899,N,Y,33.6038179,-117.814231
MLS Listing,,Single Family Residential,9 Premiere Pt,Newport Coast,CA,92657,13495000,5,6.5,N26 - Newport Coast,9895,20900,2000,59,1364,995,Active,,,http://www.redfin.com/CA/Newport-Beach/9-Premiere-Pt-92657/home/4746868,CRMLS,OC21082039,N,Y,33.599367,-117.8537167
MLS Listing,,Single Family Residential,1 Shell Bch,Newport Coast,CA,92657,19998000,6,7.5,CR - Crystal Cove,9572,16442,2012,60,2089,1325,Active,,,http://www.redfin.com/CA/Newport-Coast/1-Shell-Bch-92657/home/5957833,CRMLS,OC21136779,N,Y,33.5831956,-117.8297233
MLS Listing,,Single Family Residential,6 Arbella,Newport Coast,CA,92657,2850000,4,3.0,N26 - Newport Coast,2953,4746,1993,62,965,389,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Newport-Coast/6-Arbella-92657/home/4749517,CRMLS,OC21131626,N,Y,33.6087498,-117.8237015
MLS Listing,,Single Family Residential,5 Canyon Rim,Newport Coast,CA,92657,8500000,5,6.5,N26 - Newport Coast,7058,19442,1997,66,1204,1015,Active,,,http://www.redfin.com/CA/Newport-Beach/5-Canyon-Rim-92657/home/4746780,CRMLS,NP21130150,N,Y,33.6014685,-117.8457498
MLS Listing,,Single Family Residential,1 Via Brezza,Newport Coast,CA,92657,7998000,4,4.5,N26 - Newport Coast,5300,14852,2001,66,1509,710,Active,,,http://www.redfin.com/CA/Newport-Coast/1-Via-Brezza-92657/home/5767298,CRMLS,OC21130903,N,Y,33.6018987,-117.8376909
MLS Listing,,Single Family Residential,52 Sidney Bay,Newport Coast,CA,92657,4699000,5,4.5,CR - Crystal Cove,3602,6005,2000,70,1305,760,Active,,,http://www.redfin.com/CA/Newport-Coast/52-Sidney-Bay-Dr-92657/home/5767629,CRMLS,LG21120738,N,Y,33.5743368,-117.8363859
MLS Listing,,Single Family Residential,31 High Water,Newport Coast,CA,92657,59800000,7,11.0,CR - Crystal Cove,15000,27667,2014,73,3987,1015,Active,,,http://www.redfin.com/CA/Newport-Coast/31-High-Water-92657/home/5957699,CRMLS,NP21124827,N,Y,33.5790636,-117.8288074
MLS Listing,,Single Family Residential,6 Midsummer,Newport Coast,CA,92657,69800000,7,13.0,CR - Crystal Cove,15500,26680,2021,81,4503,1015,Active,,,http://www.redfin.com/CA/Newport-Beach/6-Midsummer-92657/home/7217488,CRMLS,NP21118313,N,Y,33.5825652,-117.827342
MLS Listing,,Single Family Residential,5 Clear Water,Newport Coast,CA,92657,13500000,4,3.5,CR - Crystal Cove,6435,18442,2015,114,2098,1250,Active,,,http://www.redfin.com/CA/Newport-Beach/5-Clear-Water-92657/home/5957785,CRMLS,OC21091451,N,Y,33.5824497,-117.8314633
