SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11 Hazelbranch,Aliso Viejo,CA,92656,975000,3,2.5,AV - Aliso Viejo,1470,4950,1993,3,663,143,Active,,,http://www.redfin.com/CA/Aliso-Viejo/11-Hazelbranch-92656/home/4857179,CRMLS,OC21181915,N,Y,33.5926134,-117.7383681
MLS Listing,,Single Family Residential,11 Sanderling Ln,Aliso Viejo,CA,92656,850000,3,2.5,AV - Aliso Viejo,1393,3000,1989,3,610,104,Active,August-22-2021 12:00 PM,August-22-2021 03:30 PM,http://www.redfin.com/CA/Laguna-Beach/11-Sanderling-Ln-92656/home/4852010,CRMLS,LG21181169,N,Y,33.5922402,-117.7492259
MLS Listing,,Single Family Residential,5 Skygate,Aliso Viejo,CA,92656,1350000,4,3.0,AV - Aliso Viejo,2918,5040,1989,5,463,117,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Aliso-Viejo/5-Skygate-92656/home/4856114,CRMLS,OC21160272,N,Y,33.5941792,-117.7400633
MLS Listing,,Single Family Residential,15 Starling Ln,Aliso Viejo,CA,92656,995000,3,2.5,AV - Aliso Viejo,1605,3480,1989,6,620,104,Active,,,http://www.redfin.com/CA/Aliso-Viejo/15-Starling-Ln-92656/home/4851562,CRMLS,LG21176453,N,Y,33.596696,-117.744324
MLS Listing,,Single Family Residential,78 Summerland Cir,Aliso Viejo,CA,92656,1549000,4,4.5,AV - Aliso Viejo,3258,5546,2011,10,475,267,Active,,,http://www.redfin.com/CA/Aliso-Viejo/78-Summerland-Cir-92656/home/17472883,CRMLS,CV21176676,N,Y,33.5956524,-117.723661
MLS Listing,,Single Family Residential,42 Dawn Ln,Aliso Viejo,CA,92656,1150000,4,2.5,AV - Aliso Viejo,2227,3311,1999,10,516,108,Active,August-22-2021 11:00 AM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Aliso-Viejo/42-Dawn-Ln-92656/home/4869998,CRMLS,OC21175500,N,Y,33.5694499,-117.7377267
MLS Listing,,Single Family Residential,26 Dawn Ln,Aliso Viejo,CA,92656,1250000,3,2.5,AV - Aliso Viejo,2200,3615,2000,10,568,97,Active,August-22-2021 12:00 PM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Aliso-Viejo/26-Dawn-Ln-92656/home/4869982,CRMLS,OC21177947,N,Y,33.5700058,-117.7367646
MLS Listing,,Single Family Residential,11 Emerald Ter,Aliso Viejo,CA,92656,1999000,5,4.5,AV - Aliso Viejo,3700,7329,2010,20,540,261,Active,August-22-2021 01:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Aliso-Viejo/11-Emerald-Ter-92656/home/17472131,CRMLS,OC21169907,N,Y,33.5983612,-117.7311293
MLS Listing,,Single Family Residential,19 Plateau,Aliso Viejo,CA,92656,1013000,3,3.0,AV - Aliso Viejo,1439,3727,1999,22,704,215,Active,,,http://www.redfin.com/CA/Aliso-Viejo/19-Plateau-92656/home/4866888,CRMLS,OC21166914,N,Y,33.5758384,-117.7330077
MLS Listing,,Single Family Residential,18 Deer Creek Ln,Laguna Hills,CA,92653,850000,3,2.5,S2 - Laguna Hills,1769,4000,1986,31,480,88,Active,,,http://www.redfin.com/CA/Laguna-Hills/18-Deer-Creek-Ln-92653/home/4861518,CRMLS,PW21160563,N,Y,33.5949397,-117.7134432
MLS Listing,,Single Family Residential,55 Shorecliff,Aliso Viejo,CA,92656,1050000,4,2.5,AV - Aliso Viejo,1806,4150,1991,32,581,133,Active,,,http://www.redfin.com/CA/Aliso-Viejo/55-Shorecliff-92656/home/4857380,CRMLS,OC21159466,N,Y,33.5888322,-117.7347232
MLS Listing,,Single Family Residential,21 Pierremont,Aliso Viejo,CA,92656,1050000,4,2.5,AV - Aliso Viejo,1965,3259,2000,39,534,170,Active,,,http://www.redfin.com/CA/Aliso-Viejo/21-Pierremont-92656/home/4867020,CRMLS,OC21152833,N,Y,33.5761225,-117.7316208
MLS Listing,,Single Family Residential,12 Roundtree Ct,Aliso Viejo,CA,92656,2500000,5,4.0,AV - Aliso Viejo,3642,6867,2000,52,686,305,Active,,,http://www.redfin.com/CA/Aliso-Viejo/12-Roundtree-Ct-92656/home/5773870,CRMLS,OC21140075,N,Y,33.5669424,-117.7404985
MLS Listing,,Single Family Residential,32 Groveside Dr,Aliso Viejo,CA,92656,1795000,5,3.0,AV - Aliso Viejo,3280,6356,1999,87,547,219,Active,,,http://www.redfin.com/CA/Aliso-Viejo/32-Groveside-Dr-92656/home/4869619,CRMLS,OC21112699,N,Y,33.5735638,-117.7384827
