SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4911 Hilo Cir,Huntington Beach,CA,92649,949999,3,2.0,17 - Northwest Huntington Beach,1232,6060,1963,11,771,,Active,,,http://www.redfin.com/CA/Huntington-Beach/4911-Hilo-Cir-92649/home/3867977,CRMLS,OC21176228,N,Y,33.727352,-118.0427829
MLS Listing,,Single Family Residential,18745 Park Haven Ln,Huntington Beach,CA,92648,965000,3,2.5,15 - West Huntington Beach,1647,2306,1997,1,586,190,Active,,,http://www.redfin.com/CA/Huntington-Beach/18745-Park-Haven-Ln-92648/home/3838722,CRMLS,OC21185403,N,Y,33.6900646,-117.9972678
MLS Listing,,Single Family Residential,19202 Hickory Ln,Huntington Beach,CA,92646,1049900,3,2.0,14 - South Huntington Beach,1416,6030,1969,2,741,,Active,,,http://www.redfin.com/CA/Huntington-Beach/19202-Hickory-Ln-92646/home/3803687,CRMLS,PW21178051,N,Y,33.6838003,-117.9673451
MLS Listing,,Single Family Residential,20081 Lawson Ln,Huntington Beach,CA,92646,1215000,4,2.75,Not Applicable,2334,6000,1966,2,521,,Active,,,http://www.redfin.com/CA/Huntington-Beach/20081-Lawson-Ln-92646/home/3812864,GPSMLS,219066485,N,Y,33.6711911,-117.9505163
MLS Listing,,Single Family Residential,6525 Park Royal Cir,Huntington Beach,CA,92648,2995000,4,3.0,15 - West Huntington Beach,3608,7030,1999,2,830,238,Active,,,http://www.redfin.com/CA/Huntington-Beach/6525-Park-Royal-Cir-92648/home/3547924,CRMLS,OC21183483,N,Y,33.68195,-118.014339
MLS Listing,,Single Family Residential,15661 Sunflower Ln,Huntington Beach,CA,92647,1239000,5,3.0,17 - Northwest Huntington Beach,2570,6214,1974,2,482,,Active,,,http://www.redfin.com/CA/Huntington-Beach/15661-Sunflower-Ln-92647/home/3746426,CRMLS,OC21144571,N,Y,33.7349327,-118.0085905
MLS Listing,,Single Family Residential,6121 CORNELL Dr,Huntington Beach,CA,92647,950000,5,1.75,17 - Northwest Huntington Beach,1756,279655200,1963,2,541,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/6121-Cornell-Dr-92647/home/3752584,CRMLS,OC21122553,N,Y,33.7409717,-118.0220624
MLS Listing,,Single Family Residential,9302 Power Dr,Huntington Beach,CA,92646,2300000,5,4.5,699 - Not Defined,3895,6480,1990,3,591,91,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/9302-Power-Dr-92646/home/3781847,CRMLS,PW21181975,N,Y,33.6555091,-117.9655683
MLS Listing,,Single Family Residential,18775 Chapel Ln,Huntington Beach,CA,92646,799900,3,2.5,16 - Fountain Valley / Northeast HB,1779,2544,1983,3,450,380,Active,,,http://www.redfin.com/CA/Huntington-Beach/18775-Chapel-Ln-92646/home/3832616,CRMLS,OC21182052,N,Y,33.6904169,-117.984773
MLS Listing,,Single Family Residential,528 14th St,Huntington Beach,CA,92648,2199900,3,3.5,15 - West Huntington Beach,2650,2875,1999,3,830,,Active,,,http://www.redfin.com/CA/Huntington-Beach/528-14th-St-92648/home/3140220,CRMLS,OC21180865,N,Y,33.6670443,-118.0054607
MLS Listing,,Single Family Residential,6431 Harmony Cir,Huntington Beach,CA,92647,849888,3,1.75,17 - Northwest Huntington Beach,1218,6000,1964,3,698,,Active,August-22-2021 12:00 PM,August-22-2021 02:00 PM,http://www.redfin.com/CA/Huntington-Beach/6431-Harmony-Cir-92647/home/3884680,CRMLS,PW21183975,N,Y,33.7478988,-118.0166189
MLS Listing,,Single Family Residential,19801 Chesapeake Ln,Huntington Beach,CA,92646,1199900,5,2.0,14 - South Huntington Beach,2198,6840,1962,3,546,,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/19801-Chesapeake-Ln-92646/home/3797922,CRMLS,OC21178347,N,Y,33.6748649,-117.966486
MLS Listing,,Single Family Residential,210 Alabama St,Huntington Beach,CA,92648,1899000,2,1.0,15 - West Huntington Beach,822,5100,1939,3,2310,,Active,August-22-2021 12:00 PM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Huntington-Beach/210-Alabama-St-92648/home/3145423,CRMLS,OC21183726,N,Y,33.6588703,-117.9963071
MLS Listing,,Single Family Residential,7842 Rhine Dr,Huntington Beach,CA,92647,949900,4,2.0,17 - Northwest Huntington Beach,1485,6000,1960,3,640,,Active,,,http://www.redfin.com/CA/Huntington-Beach/7842-Rhine-Dr-92647/home/3720807,CRMLS,OC21183282,N,Y,33.7217638,-117.9918693
MLS Listing,,Single Family Residential,707 Hill St,Huntington Beach,CA,92648,1595000,4,3.75,15 - West Huntington Beach,2563,3510,1990,3,622,,Active,August-22-2021 01:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Huntington-Beach/707-Hill-St-92648/home/3145754,CRMLS,OC21157446,N,Y,33.6637392,-117.9905863
MLS Listing,,Single Family Residential,1813 Huntington St,Huntington Beach,CA,92648,1224500,4,3.5,15 - West Huntington Beach,2123,3375,1993,3,577,,Active,,,http://www.redfin.com/CA/Huntington-Beach/1813-Huntington-St-92648/home/3147044,CRMLS,OC21183062,N,Y,33.6736238,-117.9953921
MLS Listing,,Single Family Residential,16662 Wellington Cir,Huntington Beach,CA,92649,1695000,3,2.0,17 - Northwest Huntington Beach,2334,6200,1971,4,726,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/16662-Wellington-Cir-92649/home/3873018,CRMLS,OC21182646,N,Y,33.7209784,-118.0663134
MLS Listing,,Single Family Residential,4692 Operetta Dr,Huntington Beach,CA,92649,985000,3,2.0,17 - Northwest Huntington Beach,1624,6400,1962,4,607,,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/4692-Operetta-Dr-92649/home/3869329,CRMLS,DW21179661,N,Y,33.7253132,-118.0467391
MLS Listing,,Single Family Residential,18966 Mount Demeter Cir,Fountain Valley,CA,92708,1500000,4,3.0,16 - Fountain Valley / Northeast HB,2778,7351,1977,4,540,,Active,August-22-2021 12:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Fountain-Valley/18966-Mt-Demeter-Cir-92708/home/3831094,CRMLS,IG21182167,N,Y,33.6873091,-117.972241
MLS Listing,,Single Family Residential,4602 Oceanridge Dr,Huntington Beach,CA,92649,4599000,5,4.5,15 - West Huntington Beach,4099,7231,2008,5,1122,300,Active,,,http://www.redfin.com/CA/Huntington-Beach/4602-Oceanridge-Dr-92649/home/21937560,CRMLS,OC21180160,N,Y,33.7093584,-118.0480884
MLS Listing,,Single Family Residential,18402 Gina Ln,Huntington Beach,CA,92646,875000,3,2.0,16 - Fountain Valley / Northeast HB,1196,3496,1977,5,732,275,Active,August-22-2021 12:00 AM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Huntington-Beach/18402-Gina-Ln-92646/home/3828317,CRMLS,OC21176514,N,Y,33.6954265,-117.9826274
MLS Listing,,Single Family Residential,17502 Montbury Cir,Huntington Beach,CA,92649,1520000,4,2.5,15 - West Huntington Beach,2144,6720,1975,5,709,,Active,,,http://www.redfin.com/CA/Huntington-Beach/17502-Montbury-Cir-92649/home/3843090,CRMLS,OC21179851,N,Y,33.7079713,-118.0283748
MLS Listing,,Single Family Residential,10181 Jon Day Dr,Huntington Beach,CA,92646,1350000,5,2.75,14 - South Huntington Beach,2773,6288,1967,5,487,,Active,,,http://www.redfin.com/CA/Huntington-Beach/10181-Jon-Day-Dr-92646/home/3813312,CRMLS,OC21181130,N,Y,33.6689786,-117.9505585
MLS Listing,,Single Family Residential,7541 Rhone Ln,Huntington Beach,CA,92847,955000,3,1.75,17 - Northwest Huntington Beach,1434,6174,1963,7,666,,Active,,,http://www.redfin.com/CA/Huntington-Beach/7541-Rhone-Ln-92647/home/3721683,CRMLS,PW21180319,N,Y,33.7262066,-117.9970391
MLS Listing,,Single Family Residential,18676 Ambrose Ln,Huntington Beach,CA,92648,1375000,4,3.0,17 - Northwest Huntington Beach,2051,3990,1998,8,670,90,Active,,,http://www.redfin.com/CA/Huntington-Beach/18676-Ambrose-Ln-92648/home/3550122,CRMLS,OC21174920,N,Y,33.6916265,-118.0038557
MLS Listing,,Single Family Residential,122 19th St,Huntington Beach,CA,92648,2250000,3,4.5,15 - West Huntington Beach,2766,2938,2004,8,813,,Active,,,http://www.redfin.com/CA/Huntington-Beach/122-19th-St-92648/home/5954289,CRMLS,OC21179274,N,Y,33.66651,-118.0131079
MLS Listing,,Single Family Residential,714 Huntington St,Huntington Beach,CA,92648,1499000,5,4.0,15 - West Huntington Beach,2700,3375,1983,9,555,,Active,,,http://www.redfin.com/CA/Huntington-Beach/714-Huntington-St-92648/home/3145601,CRMLS,OC21179494,N,Y,33.6636221,-117.9946669
MLS Listing,,Single Family Residential,20331 Eastwood Cir,Huntington Beach,CA,92646,1200000,4,2.0,14 - South Huntington Beach,2180,6501,1968,9,550,42,Active,August-22-2021 01:00 PM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Huntington-Beach/20331-Eastwood-Cir-92646/home/3782716,CRMLS,OC21134543,N,Y,33.6672997,-117.9640505
MLS Listing,,Single Family Residential,7871 Glencoe Dr,Huntington Beach,CA,92647,945000,3,2.0,17 - Northwest Huntington Beach,936,7425,1947,9,1010,,Active,,,http://www.redfin.com/CA/Huntington-Beach/7871-Glencoe-Dr-92647/home/3719092,CRMLS,PW21179255,N,Y,33.7244907,-117.9914118
MLS Listing,,Single Family Residential,6061 Glenwood Dr,Huntington Beach,CA,92647,899990,3,2.0,17 - Northwest Huntington Beach,1217,6049,1965,10,740,,Active,August-22-2021 02:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/6061-Glenwood-Dr-92647/home/5753700,CRMLS,OC21178132,N,Y,33.7506975,-118.0233889
MLS Listing,,Single Family Residential,1117 Florida St,Huntington Beach,CA,92648,2695000,4,3.5,14 - South Huntington Beach,3200,3375,2008,11,842,,Active,,,http://www.redfin.com/CA/Huntington-Beach/1117-Florida-St-92648/home/17467074,CRMLS,OC21175721,N,Y,33.6674327,-117.9910572
MLS Listing,,Single Family Residential,19909 Burnley Ln,Huntington Beach,CA,92646,595000,3,1.5,14 - South Huntington Beach,1100,924,1963,11,541,285,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/19909-Burnley-Ln-92646/home/3801057,CRMLS,WS21171191,N,Y,33.673269,-117.9604123
MLS Listing,,Single Family Residential,15312 Shasta Ln,Huntington Beach,CA,92647,899900,4,2.0,17 - Northwest Huntington Beach,1432,6000,1963,12,628,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Huntington-Beach/15312-Shasta-Ln-92647/home/3721001,CRMLS,OC21166603,N,Y,33.7398645,-117.9961241
MLS Listing,,Single Family Residential,1614 Pacific Coast,Huntington Beach,CA,92648,4250000,4,3.5,15 - West Huntington Beach,3992,4075,2004,13,1065,,Active,,,http://www.redfin.com/CA/Huntington-Beach/1614-Pacific-Coast-Hwy-92648/home/7201501,CRMLS,OC21174950,N,Y,33.6647938,-118.0118614
MLS Listing,,Single Family Residential,226 2nd St,Huntington Beach,CA,92648,3450000,3,3.75,15 - West Huntington Beach,2875,3000,2021,13,1200,,Active,,,http://www.redfin.com/CA/Huntington-Beach/226-2nd-St-92648/home/173417317,CRMLS,OC21062032,N,Y,33.6571893,-117.998951
