SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,24952 Hendon St,Laguna Hills,CA,92653,1299000,4,2.5,S2 - Laguna Hills,2704,6400,1976,3,480,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Laguna-Hills/24952-Hendon-St-92653/home/4847365,CRMLS,OC21181916,N,Y,33.6015409,-117.6945869
MLS Listing,,Single Family Residential,25852 Terra Bella Ave,Laguna Hills,CA,92653,1199000,3,2.0,S2 - Laguna Hills,2077,7350,1980,3,577,,Active,August-22-2021 11:00 AM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Laguna-Hills/25852-Terra-Bella-Ave-92653/home/4858736,CRMLS,PW21183170,N,Y,33.5869086,-117.6904396
MLS Listing,,Single Family Residential,25972 Poker Flats Pl,Laguna Hills,CA,92653,2999000,5,4.25,S2 - Laguna Hills,5938,13600,1989,4,505,157,Active,,,http://www.redfin.com/CA/Laguna-Hills/25972-Poker-Flats-Pl-92653/home/4864279,CRMLS,OC21178110,N,Y,33.5857613,-117.6854215
MLS Listing,,Single Family Residential,24895 Luna Bonita Dr,Laguna Hills,CA,92653,1179000,4,2.5,S2 - Laguna Hills,2680,5880,1978,7,440,,Active,August-22-2021 12:00 AM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Laguna-Hills/24895-Luna-Bonita-Dr-92653/home/4859071,CRMLS,OC21180545,N,Y,33.5890354,-117.6951597
MLS Listing,,Single Family Residential,25891 Evergreen Rd,Laguna Hills,CA,92653,969900,4,2.5,S2 - Laguna Hills,1781,5325,1974,7,545,,Active,,,http://www.redfin.com/CA/Laguna-Hills/25891-Evergreen-Rd-92653/home/4846453,CRMLS,LG21180213,N,Y,33.5920519,-117.6770119
MLS Listing,,Single Family Residential,24641 Cresta Ct,Laguna Hills,CA,92653,1260000,4,3.0,S2 - Laguna Hills,2401,6600,1978,10,525,,Active,August-22-2021 12:00 PM,August-22-2021 03:00 PM,http://www.redfin.com/CA/Laguna-Hills/24641-Cresta-Ct-92653/home/4848696,CRMLS,OC21177363,N,Y,33.6043313,-117.7028124
MLS Listing,,Single Family Residential,24971 Luna Bonita Dr,Laguna Hills,CA,92653,1175000,3,2.5,S2 - Laguna Hills,2074,4876,1978,17,567,,Active,August-22-2021 02:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/CA/Laguna-Hills/24971-Luna-Bonita-Dr-92653/home/4859052,CRMLS,OC21172273,N,Y,33.5893055,-117.6938766
MLS Listing,,Single Family Residential,26275 Eva St,Laguna Hills,CA,92656,979000,4,3.0,S2 - Laguna Hills,2165,3872,1989,17,452,73,Active,,,http://www.redfin.com/CA/Laguna-Hills/26275-Eva-St-92656/home/4873837,CRMLS,OC21171924,N,Y,33.5813529,-117.7054538
MLS Listing,,Single Family Residential,24392 Twig St,Lake Forest,CA,92630,950000,4,3.0,LS - Lake Forest South,2152,7500,1969,24,441,,Active,August-22-2021 01:00 PM,August-22-2021 04:00 PM,http://www.redfin.com/CA/Lake-Forest/24392-Twig-St-92630/home/4838736,CRMLS,OC21166003,N,Y,33.6081909,-117.6942775
MLS Listing,,Single Family Residential,18 Deer Creek Ln,Laguna Hills,CA,92653,850000,3,2.5,S2 - Laguna Hills,1769,4000,1986,31,480,88,Active,,,http://www.redfin.com/CA/Laguna-Hills/18-Deer-Creek-Ln-92653/home/4861518,CRMLS,PW21160563,N,Y,33.5949397,-117.7134432
