,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE,Average School Rating
0,11 Hazelbranch,Aliso Viejo,CA,92656,975000,3,2.5,1470,4950,1993,3,663,http://www.redfin.com/CA/Aliso-Viejo/11-Hazelbranch-92656/home/4857179,OC21181915,33.5926134,-117.7383681,8.333
1,11 Sanderling Ln,Aliso Viejo,CA,92656,850000,3,2.5,1393,3000,1989,3,610,http://www.redfin.com/CA/Laguna-Beach/11-Sanderling-Ln-92656/home/4852010,LG21181169,33.5922402,-117.7492259,9
2,5 Skygate,Aliso Viejo,CA,92656,1350000,4,3,2918,5040,1989,5,463,http://www.redfin.com/CA/Aliso-Viejo/5-Skygate-92656/home/4856114,OC21160272,33.5941792,-117.7400633,8.333
3,15 Starling Ln,Aliso Viejo,CA,92656,995000,3,2.5,1605,3480,1989,6,620,http://www.redfin.com/CA/Aliso-Viejo/15-Starling-Ln-92656/home/4851562,LG21176453,33.596696,-117.744324,9
4,78 Summerland Cir,Aliso Viejo,CA,92656,1549000,4,4.5,3258,5546,2011,10,475,http://www.redfin.com/CA/Aliso-Viejo/78-Summerland-Cir-92656/home/17472883,CV21176676,33.5956524,-117.723661,7.667
5,42 Dawn Ln,Aliso Viejo,CA,92656,1150000,4,2.5,2227,3311,1999,10,516,http://www.redfin.com/CA/Aliso-Viejo/42-Dawn-Ln-92656/home/4869998,OC21175500,33.5694499,-117.7377267,8.333
6,26 Dawn Ln,Aliso Viejo,CA,92656,1250000,3,2.5,2200,3615,2000,10,568,http://www.redfin.com/CA/Aliso-Viejo/26-Dawn-Ln-92656/home/4869982,OC21177947,33.5700058,-117.7367646,8.333
7,11 Emerald Ter,Aliso Viejo,CA,92656,1999000,5,4.5,3700,7329,2010,20,540,http://www.redfin.com/CA/Aliso-Viejo/11-Emerald-Ter-92656/home/17472131,OC21169907,33.5983612,-117.7311293,7.667
8,19 Plateau,Aliso Viejo,CA,92656,1013000,3,3,1439,3727,1999,22,704,http://www.redfin.com/CA/Aliso-Viejo/19-Plateau-92656/home/4866888,OC21166914,33.5758384,-117.7330077,8.333
9,18 Deer Creek Ln,Laguna Hills,CA,92653,850000,3,2.5,1769,4000,1986,31,480,http://www.redfin.com/CA/Laguna-Hills/18-Deer-Creek-Ln-92653/home/4861518,PW21160563,33.5949397,-117.7134432,5.25
10,55 Shorecliff,Aliso Viejo,CA,92656,1050000,4,2.5,1806,4150,1991,32,581,http://www.redfin.com/CA/Aliso-Viejo/55-Shorecliff-92656/home/4857380,OC21159466,33.5888322,-117.7347232,8.333
11,21 Pierremont,Aliso Viejo,CA,92656,1050000,4,2.5,1965,3259,2000,39,534,http://www.redfin.com/CA/Aliso-Viejo/21-Pierremont-92656/home/4867020,OC21152833,33.5761225,-117.7316208,8.333
12,12 Roundtree Ct,Aliso Viejo,CA,92656,2500000,5,4,3642,6867,2000,52,686,http://www.redfin.com/CA/Aliso-Viejo/12-Roundtree-Ct-92656/home/5773870,OC21140075,33.5669424,-117.7404985,8.333
13,32 Groveside Dr,Aliso Viejo,CA,92656,1795000,5,3,3280,6356,1999,87,547,http://www.redfin.com/CA/Aliso-Viejo/32-Groveside-Dr-92656/home/4869619,OC21112699,33.5735638,-117.7384827,8.333
14,6692 Mount Lowe Dr,Buena Park,CA,90620,728000,4,1.5,1527,6000,1959,38,477,http://www.redfin.com/CA/Buena-Park/6692-Mt-Lowe-Dr-90620/home/3662782,OC21142567,33.8209737,-118.0161157,4.667
15,1221 N Lynwood Dr,Anaheim Hills,CA,92807,958900,3,2.5,1846,5500,1980,1,519,http://www.redfin.com/CA/Anaheim/1221-N-Lynwood-Dr-92807/home/4269653,LG21185634,33.8731909,-117.7604496,8
16,1645 S Euclid St,Anaheim,CA,92802,900000,3,1.5,1129,8917,1955,1,797,http://www.redfin.com/CA/Anaheim/1645-S-Euclid-St-92804/home/3610070,OC21185418,33.8064117,-117.9417192,3
17,11192 Lindaloa Ln,Garden Grove,CA,92840,799000,3,2.5,1675,7203,1955,1,477,http://www.redfin.com/CA/Garden-Grove/11192-Lindaloa-Ln-92840/home/3405027,PW21185194,33.8003895,-117.9382411,3.333
18,2658 N River Trail Rd,Orange,CA,92865,775000,3,2.5,1987,3450,1984,2,390,http://www.redfin.com/CA/Orange/2658-N-River-Trail-Rd-92865/home/4357068,PW21182109,33.8328879,-117.862989,5.667
19,120 S Carousel St,Anaheim,CA,92806,850000,4,3,2363,5580,1970,2,360,http://www.redfin.com/CA/Anaheim/120-S-Carousel-St-92806/home/4049627,PW21183619,33.8404645,-117.8736784,3
20,8685 Carnation Dr,Buena Park,CA,90620,785000,3,1.75,1552,6300,1958,2,506,http://www.redfin.com/CA/Buena-Park/8685-Carnation-Dr-90620/home/3306341,PW21174960,33.8520997,-117.9818495,3.333
21,4728 E Fairfield St,Anaheim Hills,CA,92807,875000,3,2.75,2178,2614,1981,2,402,http://www.redfin.com/CA/Anaheim/4728-E-Fairfield-St-92807/home/4324573,PW21168002,33.83897,-117.811005,6.667
22,6715 Via Riviera Way,Buena Park,CA,90620,744000,3,2,1618,6600,1957,3,460,http://www.redfin.com/CA/Buena-Park/6715-Via-Riviera-Way-90620/home/3660205,OC21179720,33.8270099,-118.0157497,5
23,1232 E Sycamore St,Anaheim,CA,92805,749000,3,2,1446,6820,1950,4,518,http://www.redfin.com/CA/Anaheim/1232-E-Sycamore-St-92805/home/3204479,OC21183196,33.8425517,-117.9026784,2.333
24,6652 Vista Loma,Yorba Linda,CA,92886,675000,3,2.5,1733,2977,1979,4,389,http://www.redfin.com/CA/Yorba-Linda/6652-Vista-Loma-92886/home/17477109,PW21182486,33.8648174,-117.7890324,8
25,2702 E Sycamore St,Anaheim,CA,92806,775000,3,2.5,1632,7200,1962,4,475,http://www.redfin.com/CA/Anaheim/2702-E-Sycamore-St-92806/home/4051706,OC21182945,33.8456679,-117.8731977,3
26,214 N Ventura St,Anaheim,CA,92801,724900,3,2,1527,7214,1957,4,475,http://www.redfin.com/CA/Anaheim/214-N-Ventura-St-92801/home/3323679,OC21179557,33.8343908,-117.9629981,4.333
27,865 S Annika St,Anaheim,CA,92806,899900,5,2.5,2547,5360,1971,4,353,http://www.redfin.com/CA/Anaheim/865-S-Annika-St-92806/home/4004921,PW21182054,33.828567,-117.8829488,3.667
28,1851 W Random Dr,Anaheim,CA,92804,759000,3,2,1521,6000,1957,4,499,http://www.redfin.com/CA/Anaheim/1851-W-Random-Dr-92804/home/3603915,PW21182430,33.824648,-117.948602,3.333
29,1301 W Laster Ave,Anaheim,CA,92802,770000,4,2,1310,7590,1954,5,588,http://www.redfin.com/CA/Anaheim/1301-Laster-Ave-92802/home/3616598,PW21182274,33.8067482,-117.9305067,3.333
30,202 N Plantation Pl,Anaheim,CA,92806,810000,3,2,1596,10000,1962,5,508,http://www.redfin.com/CA/Anaheim/202-N-Plantation-Pl-92806/home/4051388,OC21181967,33.8420614,-117.8723278,3
31,1135 N Louise Dr,Anaheim,CA,92805,599900,5,2,2020,10260,1952,5,297,http://www.redfin.com/CA/Anaheim/1135-N-Louise-Dr-92805/home/3340426,PW21180364,33.8502918,-117.8992224,2.667
32,3130 W Tyler Ave,Anaheim,CA,92801,699500,3,1,954,7234,1956,5,733,http://www.redfin.com/CA/Anaheim/3130-W-Tyler-Ave-92801/home/3676432,PW21180826,33.8336049,-117.9995553,4.333
33,2280 W Polk Ave,Anaheim,CA,92801,879000,3,2,1751,7200,1957,5,502,http://www.redfin.com/CA/Anaheim/2280-W-Polk-Ave-92801/home/3323718,OC21177343,33.8334408,-117.963021,4.333
34,874 N Redondo Dr,Anaheim,CA,92801,840000,4,2.5,1960,9240,1952,6,429,http://www.redfin.com/CA/Anaheim/874-N-Redondo-Dr-W-92801/home/3193188,21-773114,33.8439208,-117.9324272,3.333
35,10582 Larry Dr,Anaheim,CA,92804,699000,3,1.75,1258,7500,1954,7,556,http://www.redfin.com/CA/Anaheim/10582-Larry-Dr-92804/home/3595984,PW21156113,33.8090444,-117.9655605,4
36,2004 S Waverly Dr,Anaheim,CA,92802,903300,5,3,2326,5814,1972,7,388,http://www.redfin.com/CA/Anaheim/2004-S-Waverly-Dr-92802/home/3408975,LG21180221,33.7990475,-117.9337103,3.333
37,1762 N Ballad Dr,Anaheim,CA,92807,749000,3,1.75,1357,7930,1962,9,552,http://www.redfin.com/CA/Anaheim/1762-N-Ballad-Dr-92807/home/4232405,P1-6199,33.8667006,-117.8012612,7.333
38,705 S Neptune St,Anaheim,CA,92804,949900,4,3,2267,6060,1962,9,419,http://www.redfin.com/CA/Anaheim/705-S-Neptune-St-92804/home/3604143,PW21178595,33.8227858,-117.9470735,3.333
39,2215 E Olmstead Way,Anaheim,CA,92806,870000,5,3.5,2164,7200,1966,9,402,http://www.redfin.com/CA/Anaheim/2215-E-Olmstead-Way-92806/home/4002250,PW21170100,33.8295968,-117.8859702,3.667
40,1111 W Beacon Ave,Anaheim,CA,92802,825000,3,2,1282,9064,1958,9,644,http://www.redfin.com/CA/Anaheim/1111-W-Beacon-Ave-92802/home/3214857,OC21178257,33.8215968,-117.9240535,3
41,1360 N Ferndale St,Anaheim,CA,92801,698000,4,2,1307,6447,1954,9,534,http://www.redfin.com/CA/Anaheim/1360-N-Ferndale-St-92801/home/3316476,PW21178865,33.8535523,-117.9685805,3
42,2521 W Greenacre Ave,Anaheim,CA,92801,789000,3,1.75,1868,6039,1955,10,422,http://www.redfin.com/CA/Anaheim/2521-W-Greenacre-Ave-92801/home/3318833,PW21175000,33.8419079,-117.9727215,4.333
43,2542 E Puritan Cir,Anaheim,CA,92806,899900,4,2,2086,7735,1962,10,431,http://www.redfin.com/CA/Anaheim/2542-E-Puritan-Cir-92806/home/4006158,PW21177016,33.8355415,-117.8785998,3.667
44,2661 W Stanley Ave,Anaheim,CA,92801,650000,4,2,1228,6172,1959,11,529,http://www.redfin.com/CA/Anaheim/2661-W-Stanley-Ave-92801/home/3306745,OC21176978,33.8368689,-117.9789213,4.333
45,502 S Revere St,Anaheim,CA,92805,775000,3,1.5,1440,6500,1949,11,538,http://www.redfin.com/CA/Anaheim/502-S-Revere-St-92806/home/3359586,DW21177683,33.8360507,-117.8903191,4
46,2183 W Cherrywood Ln,Anaheim,CA,92804,830000,3,2.5,1826,4500,2000,11,455,http://www.redfin.com/CA/Anaheim/2183-W-Cherrywood-Ln-92804/unit-IN/home/5760188,OC21174902,33.8315816,-117.9582313,3.667
47,1737 W Beacon Ave,Anaheim,CA,92804,799900,5,3,1630,6000,1959,12,491,http://www.redfin.com/CA/Anaheim/1737-W-Beacon-Ave-92804/home/3605323,PW21176625,33.8204794,-117.9433667,3.333
48,1776 N Prelude Dr,Anaheim,CA,92807,798000,3,2,1721,7410,1962,13,464,http://www.redfin.com/CA/Anaheim/1776-N-Prelude-Dr-92807/home/4232258,PW21174986,33.8665711,-117.7991545,7.333
49,4761 E Copa De Oro Dr,Anaheim Hills,CA,92807,4488000,6,6.75,8808,34848,1990,14,510,http://www.redfin.com/CA/Anaheim/4761-E-Copa-De-Oro-Dr-92807/home/4325749,PW21161544,33.8409071,-117.811955,6.667
50,105 N Rose St,Anaheim,CA,92805,1399000,5,3.5,3228,16509,1890,14,433,http://www.redfin.com/CA/Anaheim/105-N-Rose-St-92805/home/3204072,21-770344,33.8380769,-117.904372,2.333
51,1907 E Bolingridge Dr,Orange,CA,92865,940000,4,2,1668,17464,1967,15,564,http://www.redfin.com/CA/Orange/1907-E-Bolingridge-Dr-92865/home/4319658,WS21174217,33.841332,-117.8335202,5.333
52,333 E Julianna,Anaheim,CA,92801,649900,3,1,1232,8710,1930,16,528,http://www.redfin.com/CA/Anaheim/333-E-Julianna-St-92801/home/4045888,OC21174075,33.8487965,-117.9139384,3
53,1313 N Jasmine Pl,Anaheim,CA,92801,754000,3,2,1345,6500,1956,16,561,http://www.redfin.com/CA/Anaheim/1313-N-Jasmine-Pl-92801/home/3327862,OC21172949,33.8525208,-117.9569121,3
54,718 San Diego Ln,Placentia,CA,92870,899000,3,2,1728,11900,1976,18,520,http://www.redfin.com/CA/Placentia/718-San-Diego-Ln-92870/home/4212734,PW21170498,33.868755,-117.857288,6.333
55,3115 W Del Monte Dr,Anaheim,CA,92804,760000,3,1.5,1838,7728,1956,19,413,http://www.redfin.com/CA/Anaheim/3115-W-Del-Monte-Dr-92804/home/3678243,OC21158781,33.8300564,-117.9987089,4.667
56,2906 E Bellamy Ave,Anaheim,CA,92806,975000,5,3,2898,7384,1963,20,336,http://www.redfin.com/CA/Anaheim/2906-E-Bellamy-Ave-92806/home/4047465,CV21168309,33.8374894,-117.8664448,5
57,2540 W Picadilly Way,Anaheim,CA,92801,620000,3,1.75,1128,6552,1955,20,550,http://www.redfin.com/CA/Anaheim/2540-W-Picadilly-Way-92801/home/3320633,OC21168915,33.8552983,-117.9732477,4.333
58,1401 E Gary Pl,Anaheim,CA,92805,719900,3,1.5,1148,6630,1955,20,627,http://www.redfin.com/CA/Anaheim/1401-E-Gary-Pl-92805/home/3964213,OC21168642,33.8252026,-117.8952171,4
59,2110 W Grayson Ave,Anaheim,CA,92801,709900,3,2,1233,6000,1957,22,576,http://www.redfin.com/CA/Anaheim/2110-W-Grayson-Ave-92801/home/3331966,LG21168341,33.8496032,-117.9555393,3
60,11811 Euclid St,Garden Grove,CA,92840,1700000,2,1,956,27305,1948,26,1778,http://www.redfin.com/CA/Garden-Grove/11811-Euclid-St-92840/home/3392058,PW21164745,33.791209,-117.941716,6.667
61,1321 N Gilbert St,Anaheim,CA,92801,719900,4,2,1581,7114,1954,28,455,http://www.redfin.com/CA/Anaheim/1321-N-Gilbert-St-92801/home/3316367,PW21163034,33.8518632,-117.9682602,3
62,1929 W Elm Pl,Anaheim,CA,92804,805900,4,2,1502,7863,1956,29,537,http://www.redfin.com/CA/Anaheim/1929-W-Elm-Pl-92804/home/3601558,LG21162862,33.8283604,-117.9510547,3.333
63,704 S Lassen Ct,Anaheim,CA,92804,950000,4,2.5,2462,4783,2000,31,386,http://www.redfin.com/CA/Anaheim/704-S-Lassen-Ct-92804/home/5758591,PW21160976,33.8226855,-117.9957581,4.667
64,1726 S Latus Pl,Anaheim,CA,92804,829900,3,2.5,1280,9360,1959,31,648,http://www.redfin.com/CA/Anaheim/1726-S-Latus-Pl-92804/home/3598761,PW21160871,33.8051015,-117.9618084,4
65,2210 E Vermont Ave,Anaheim,CA,92806,830000,4,3,2547,5096,1971,31,326,http://www.redfin.com/CA/Anaheim/2210-E-Vermont-Ave-92806/home/4004824,PW21160257,33.8270803,-117.8863135,3.667
66,1761 N Partridge St,Anaheim,CA,92806,1150000,4,2.5,3189,5839,1977,32,361,http://www.redfin.com/CA/Anaheim/1761-N-Partridge-St-92806/home/4198145,OC21157937,33.866564,-117.8655063,6
67,2744 W Madison Cir,Anaheim,CA,92801,899900,5,3.5,2769,2970,2006,34,325,http://www.redfin.com/CA/Anaheim/2744-W-Madison-Cir-92801/home/12256458,OC21158258,33.8374762,-117.9775944,4.333
68,301 E Elm Ave,Fullerton,CA,92832,630000,3,2,1723,7040,1955,36,366,http://www.redfin.com/CA/Fullerton/301-E-Elm-Ave-92832/home/3186705,PW21156734,33.864686,-117.9196139,5.667
69,1728 S Varna St,Anaheim,CA,92804,849950,3,2,1658,7178,1954,39,513,http://www.redfin.com/CA/Anaheim/1728-S-Varna-St-92804/home/3610125,OC21154515,33.8041355,-117.9428861,3
70,1268 E Eastwood Dr,Anaheim,CA,92805,729999,3,1.5,1127,6600,1953,39,648,http://www.redfin.com/CA/Anaheim/1268-E-Eastwood-Dr-92805/home/3207256,OC21149571,33.8447858,-117.9017629,2.667
71,10812 Harcourt Ave,Anaheim,CA,92804,1200000,5,2.25,1746,11142,1930,39,687,http://www.redfin.com/CA/Anaheim/10812-Harcourt-Ave-92804/home/3598145,PW21142713,33.8053662,-117.9686125,4
72,9725 Mount Dana Cir,Buena Park,CA,90620,799000,4,2,1679,6976,2006,40,476,http://www.redfin.com/CA/Buena-Park/9725-Mt-Dana-Cir-90620/home/3662918,RS21152738,33.8213934,-118.0133481,4.667
73,114 S Olympia Ct,Anaheim,CA,92806,799000,4,2,1836,7446,1964,43,435,http://www.redfin.com/CA/Anaheim/114-S-Olympia-Ct-92806/home/3360883,PW21150918,33.8409733,-117.8820333,3
74,1124 S Laramie St,Anaheim,CA,92806,895000,4,2.5,2089,7210,1968,52,428,http://www.redfin.com/CA/Anaheim/1124-S-Laramie-St-92806/home/4002389,OC21143989,33.8207317,-117.8797214,3.333
75,3314 E Radcliffe Ave,Anaheim,CA,92806,780000,4,2,1427,5400,1971,52,547,http://www.redfin.com/CA/Anaheim/3314-E-Radcliffe-Ave-92806/home/4207366,SB21143369,33.8670961,-117.8551132,6.333
76,1787 W Juno Ave,Anaheim,CA,92804,800000,5,2,1804,6000,1959,52,443,http://www.redfin.com/CA/Anaheim/1787-W-Juno-Ave-92804/home/3605421,PW21142195,33.819032,-117.9453345,3.333
77,2137 E Ward Ter,Anaheim,CA,92806,679900,3,1.5,1336,6120,1954,52,509,http://www.redfin.com/CA/Anaheim/2137-E-Ward-Ter-92806/home/3362719,IG21141799,33.8407083,-117.8865653,3
78,1015 N Citron,Anaheim,CA,92805,750000,1,1,976,18413,1945,63,768,http://www.redfin.com/CA/Anaheim/1015-N-Citron-St-92805/home/4013663,PW21133956,33.8463966,-117.9277854,3
79,1795 W Glenoaks Ave,Anaheim,CA,92801,455000,2,1,896,1863,1964,66,508,http://www.redfin.com/CA/Anaheim/1795-Glenoaks-Ave-92801/home/4055539,PW21110010,33.8432563,-117.9453802,3.667
80,1313 E Banyan Ave,Anaheim,CA,92805,760000,4,2,1862,6490,1958,67,408,http://www.redfin.com/CA/Anaheim/1313-E-Banyan-Ave-92805/home/3342319,PW21130017,33.8497202,-117.9035252,2.667
81,2517 W Merle Pl,Anaheim,CA,92804,839900,5,2.5,1685,7380,1955,68,498,http://www.redfin.com/CA/Anaheim/2517-W-Merle-Pl-92804/home/3592503,IG21130146,33.8207225,-117.9728359,3.667
82,1828 N Cymbal Way,Anaheim,CA,92807,724900,3,2,1238,5554,1971,73,586,http://www.redfin.com/CA/Anaheim/1828-N-Cymbal-Way-92807/home/4228790,OC21125924,33.8688892,-117.8062991,7.333
83,1204 N Brookhurst St,Anaheim,CA,92801,1050000,4,1,1691,19259,1920,78,621,http://www.redfin.com/CA/Anaheim/1204-N-Brookhurst-St-92801/home/3332119,OC21121707,33.8507744,-117.9587883,3
84,724 N Bush St N,Anaheim,CA,92805,695000,4,2,1293,6115,1954,80,538,http://www.redfin.com/CA/Anaheim/724-N-Bush-St-92805/home/3202573,PW21116887,33.8452565,-117.9065691,3
85,1275 S Goldstone,Anaheim,CA,92804,899000,4,2.5,2002,3587,1999,82,449,http://www.redfin.com/CA/Anaheim/1275-S-Goldstone-Cir-92804/home/5760332,RS21115614,33.815532,-118.0114496,4.333
86,2885 E Cinnamon Pl,Anaheim,CA,92806,875000,4,2.5,2260,3998,2003,86,387,http://www.redfin.com/CA/Anaheim/2885-E-Cinnamon-Pl-92806/home/5921281,IG21115885,33.8434672,-117.8703328,5
87,208 N Carleton Ave,Anaheim,CA,92801,469900,2,1,624,3375,1920,88,753,http://www.redfin.com/CA/Anaheim/208-N-Carleton-Ave-92801/home/4011862,TR21112936,33.8339766,-117.9288133,3.333
88,2012 W Beacon Ave,Anaheim,CA,92804,748498,3,2,2321,8720,1956,102,322,http://www.redfin.com/CA/Anaheim/2012-W-Beacon-Ave-92804/home/3605927,OC21101591,33.8204549,-117.953297,3.333
89,637 S Priscilla,Anaheim,CA,92806,798000,4,2,1290,7548,1958,103,619,http://www.redfin.com/CA/Anaheim/637-S-Priscilla-St-92806/home/3362935,OC21099836,33.8328706,-117.8868858,3.667
90,1254 W Glen Dr,Anaheim,CA,92801,679000,3,1.75,1238,6592,1955,106,548,http://www.redfin.com/CA/Anaheim/1254-W-Glen-Dr-92801/home/4054119,PW21098415,33.8484756,-117.9362274,2.333
91,2940 E Echo Hill Way,Orange,CA,92867,1200000,4,2.5,2335,10138,1965,115,514,http://www.redfin.com/CA/Orange/2940-E-Echo-Hill-Way-92867/home/4320807,DW21091223,33.8320176,-117.8226711,6.667
92,4325 E Terra Vista Ln,Anaheim Hills,CA,92807,979900,3,2.5,2815,3815,1985,139,348,http://www.redfin.com/CA/Anaheim/4325-E-Terra-Vista-Ln-92807/home/4325735,IG21064513,33.8363889,-117.823383,6.667
93,726 N East St,Anaheim,CA,92805,1100000,2,1,1140,18280,1953,314,965,http://www.redfin.com/CA/Anaheim/726-N-East-St-92805/home/3204087,PW20214677,33.8458204,-117.9048954,2.667
94,1441 W Kiama Pl,Anaheim,CA,92802,679990,3,2,1071,7347,1955,321,635,http://www.redfin.com/CA/Anaheim/1441-Kiama-Pl-92802/home/3214589,PW20205357,33.82462,-117.9323831,3
95,1249 Driftwood Pl,Brea,CA,92821,828800,4,2,1440,6767,1963,2,576,http://www.redfin.com/CA/Brea/1249-Driftwood-Pl-92821/home/4135872,PW21180737,33.9366353,-117.8961784,7.667
96,359 Brea Hills Ave,Brea,CA,92823,1500000,4,3,2893,12623,2003,2,518,http://www.redfin.com/CA/Brea/359-Brea-Hills-Ave-92823/home/5924682,PW21184287,33.9234693,-117.8333866,7.667
97,1414 Las Lomas Dr,Brea,CA,92821,899900,3,3,2155,9639,1963,2,418,http://www.redfin.com/CA/Brea/1414-Las-Lomas-Dr-92821/home/4129001,PW21184326,33.9405552,-117.9180119,5.25
98,1915 Skywood St,Brea,CA,92821,818900,4,2.5,1627,5002,1970,2,503,http://www.redfin.com/CA/Brea/1915-Skywood-St-92821/home/4118996,LG21184389,33.9303384,-117.9267538,5.25
99,571 Cardinal St,Brea,CA,92823,948000,4,2.5,2179,3304,2002,3,435,http://www.redfin.com/CA/Brea/571-Cardinal-St-92823/home/5803964,TR21184189,33.9275348,-117.8444448,7.667
100,737 Cactus Ct,Brea,CA,92821,600000,3,2.5,1401,1545,1974,3,428,http://www.redfin.com/CA/Brea/737-Cactus-Ct-92821/home/4146293,PW21183577,33.927721,-117.892345,8
101,1421 Woodcrest Ave,Brea,CA,92821,985000,4,2.5,1959,8925,1976,3,503,http://www.redfin.com/CA/Brea/1421-Woodcrest-Ave-92821/home/4126847,PW21183383,33.9459244,-117.919202,5.25
102,801 Chestnut Ave,Brea,CA,92821,749900,3,1.5,1216,7070,1958,5,617,http://www.redfin.com/CA/Brea/801-Chestnut-Ave-92821/home/4080118,PW21173516,33.9096022,-117.9071642,7
103,925 Oleander St,Brea,CA,92821,799999,3,2,1338,6792,1956,5,598,http://www.redfin.com/CA/Brea/925-Oleander-St-92821/home/17477181,PW21180684,33.9171157,-117.9128856,7
104,599 Charwood Ct,Brea,CA,92821,624900,4,3,1470,1548,1973,7,425,http://www.redfin.com/CA/Brea/599-Charwood-Ct-92821/home/4120412,PW21180303,33.9296575,-117.9229436,5.25
105,2120 Treeridge Cir,Brea,CA,92821,928888,3,2.5,2130,5000,1976,7,436,http://www.redfin.com/CA/Brea/2120-Treeridge-Cir-92821/home/4151919,TR21180286,33.9231408,-117.8719158,7.333
106,2668 E Santa Fe,Brea,CA,92821,939000,3,2.5,1827,2881,2014,8,514,http://www.redfin.com/CA/Brea/2668-E-Santa-Fe-Rd-92821/home/45380970,PW21178753,33.925023,-117.863028,7.667
107,2368 Foothill Ln,Brea,CA,92821,950000,4,3.5,2500,5529,1977,10,380,http://www.redfin.com/CA/Brea/2368-Foothill-Ln-92821/home/4152328,PW21175063,33.9216667,-117.8690773,7.333
108,2481 Sommerset Dr,Brea,CA,92821,675000,3,2,1578,2397,1979,10,428,http://www.redfin.com/CA/Brea/2481-Sommerset-Dr-92821/home/4155891,PW21177091,33.925303,-117.865168,7.333
109,1200 Walling Ave,Brea,CA,92821,1495000,6,3.5,2774,8850,1960,11,539,http://www.redfin.com/CA/Brea/1200-Walling-Ave-92821/home/4133226,PW21177750,33.9338955,-117.9158607,5.25
110,553 S Walnut Ave,Brea,CA,92821,699900,2,1,840,6125,1924,11,833,http://www.redfin.com/CA/Brea/553-S-Walnut-Ave-92821/home/4083774,PW21176717,33.912014,-117.904372,7
111,1975 Skywood St,Brea,CA,92821,869900,3,2,1611,5002,1971,12,540,http://www.redfin.com/CA/Brea/1975-Skywood-St-92821/home/4119010,LG21176527,33.9303386,-117.927898,5.25
112,856 Jones Dr,Brea,CA,92821,1100000,5,3.5,3452,4500,2003,16,319,http://www.redfin.com/CA/Brea/856-Jones-Dr-92821/home/5924533,IV21173665,33.9322199,-117.9098418,7.667
113,1577 Gatewood Ct,Brea,CA,92821,550000,3,2.5,1302,1358,1973,16,422,http://www.redfin.com/CA/Brea/1577-Gatewood-Ct-92821/home/4120236,PW21173401,33.929553,-117.9215762,5.25
114,1708 Summerfield Cir,Brea,CA,92821,850000,4,2.5,2077,5000,1983,16,409,http://www.redfin.com/CA/Brea/1708-Summerfield-Cir-92821/home/4155725,PW21153319,33.9226868,-117.8792636,7.333
115,2301 Raintree Dr,Brea,CA,92821,695000,2,1.75,1168,5040,1977,16,595,http://www.redfin.com/CA/Brea/2301-Raintree-Dr-92821/home/4153272,PW21158711,33.918984,-117.8701074,7.333
116,3844 Grandview Dr,Brea,CA,92823,1388000,4,3,3252,6555,2002,16,427,http://www.redfin.com/CA/Brea/3844-Grandview-Dr-92823/home/5898593,PW21170743,33.9266004,-117.8422699,7.667
117,2207 Crestview Cir,Brea,CA,92821,1085000,4,2.5,2958,5300,1976,19,367,http://www.redfin.com/CA/Brea/2207-Crestview-Cir-92821/home/4152134,OC21170730,33.9248616,-117.8717785,7.333
118,315 S Flower Ave,Brea,CA,92821,1500000,3,2.5,2742,21000,1937,20,547,http://www.redfin.com/CA/Brea/315-S-Flower-Ave-92821/home/4082149,PW21169768,33.9152132,-117.898696,7.333
119,17060 Vista Moraga,Yorba Linda,CA,92886,950000,4,2.5,2250,4000,2004,21,422,http://www.redfin.com/CA/Yorba-Linda/17060-Vista-Moraga-92886/home/5851162,PW21140832,33.9082454,-117.836569,8
120,172 Brookside Ln,Brea,CA,92821,899000,4,2.5,1908,6900,1983,27,471,http://www.redfin.com/CA/Brea/172-Brookside-Ln-92821/home/4156261,CV21163961,33.9213638,-117.8762192,7.333
121,1816 Evergreen Ave,Fullerton,CA,92835,799000,3,2,1272,7245,1963,28,628,http://www.redfin.com/CA/Fullerton/1816-Evergreen-Ave-92835/home/4086320,PW21162851,33.9055638,-117.8951256,6
122,419 Redtail Dr,Brea,CA,92823,850000,4,2.5,1531,3139,2002,32,555,http://www.redfin.com/CA/Brea/419-Redtail-Dr-92823/home/5804910,OC21152128,33.9250655,-117.8451774,7.667
123,235 Verbena Ln,Brea,CA,92823,1750000,5,3,3495,34500,2004,32,501,http://www.redfin.com/CA/Brea/235-Verbena-Ln-92823/home/4141533,PW21159897,33.9309569,-117.804719,7.667
124,3511 Ironbark Way,Yorba Linda,CA,92886,1349900,4,3,2800,5086,2003,33,482,http://www.redfin.com/CA/Yorba-Linda/3511-Iron-Bark-Way-92886/home/5892133,PW21158782,33.9115477,-117.8358822,8
125,852 E Davidson Ct,Brea,CA,92821,1000000,4,3,2398,4000,1987,37,417,http://www.redfin.com/CA/Brea/852-E-Davidson-Ct-92821/home/4150265,PW21155374,33.9295686,-117.882079,8
