,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE,Average School Rating
332,2031 Pioneer Ave,Fullerton,CA,92831,2099000,5,6,5704,22060,1979,72,368,http://www.redfin.com/CA/Fullerton/2031-Pioneer-Ave-92831/home/4087881,PW21126617,33.8892079,-117.8939125,7
333,1207 Wilson Ave,Fullerton,CA,92831,2000000,8,6,4205,7200,1960,100,476,http://www.redfin.com/CA/Fullerton/1207-Wilson-Ave-92831/home/4074731,CV21103600,33.8818262,-117.8924706,8
334,1105 E Walnut Ave,Fullerton,CA,92831,1099999,6,5,1850,6540,1951,117,595,http://www.redfin.com/CA/Fullerton/1105-E-Walnut-Ave-92831/home/3188539,OC21088097,33.8684798,-117.9084,6
335,511 W FERN Dr,Fullerton,CA,92832,1950000,4,4.5,3500,22216,1936,168,557,http://www.redfin.com/CA/Fullerton/511-W-Fern-Dr-92832/home/3179416,PW21047873,33.8805366,-117.9336188,5.333
336,12212 Corvette St,Garden Grove,CA,92841,685000,3,1.5,1257,7200,1955,1,545,http://www.redfin.com/CA/Garden-Grove/12212-Corvette-St-92841/home/3652237,PW21185637,33.7852527,-117.9719207,6.667
337,12261 Ellen St,Garden Grove,CA,92840,720000,4,2,1236,7600,1953,1,583,http://www.redfin.com/CA/Garden-Grove/12261-Ellen-St-92840/home/3384975,PW21179223,33.784671,-117.9436412,7.667
338,176 N Jetty Dr,Orange,CA,92868,765000,4,1.75,1356,7200,1955,2,564,http://www.redfin.com/CA/Orange/176-N-Jetty-Dr-92868/home/3689349,PW21184860,33.7902642,-117.9017629,4
339,11431 Gill Dr,Garden Grove,CA,92841,875000,3,2.5,1783,11160,1957,2,491,http://www.redfin.com/CA/Garden-Grove/11431-Gill-Dr-92841/home/3643659,OC21184344,33.7965218,-117.9716233,6.333
340,13852 La Jolla,Garden Grove,CA,92844,440000,2,2.5,1269,1406,1972,2,347,http://www.redfin.com/CA/Garden-Grove/13852-La-Jolla-Plz-92844/home/3459003,IG21183588,33.760191,-117.957386,8.333
341,10415 Orchid Cir,Garden Grove,CA,92840,824900,3,1.5,1674,11250,1954,3,493,http://www.redfin.com/CA/Garden-Grove/10415-Orchid-Cir-92840/home/3388322,OC21183439,33.7912053,-117.9511005,6.667
342,12291 Lesley St,Garden Grove,CA,92840,850000,4,2,2092,7600,1953,4,406,http://www.redfin.com/CA/Garden-Grove/12291-Lesley-St-92840/home/3384986,IG21183113,33.7841571,-117.9427031,7.667
343,9232 Bixby Ave,Garden Grove,CA,92841,848500,3,2,1789,10934,1954,4,474,http://www.redfin.com/CA/Garden-Grove/9232-Bixby-Ave-92841/home/3652330,PW21182880,33.7851155,-117.9710056,6.667
344,10133 Andy Reese Ct,Garden Grove,CA,92843,700000,3,2.5,1509,2188,2001,5,464,http://www.redfin.com/CA/Garden-Grove/10133-Andy-Reese-Ct-92843/home/5847874,OC21181996,33.7736878,-117.9525191,7
345,6561 Cerulean Ave,Garden Grove,CA,92845,868888,4,2,1430,6000,1961,5,608,http://www.redfin.com/CA/Garden-Grove/6561-Cerulean-Ave-92845/home/3623762,PW21181109,33.7786818,-118.0186583,8.667
346,11252 Paloma Ave,Garden Grove,CA,92843,1050000,4,2.75,1803,8050,1954,7,582,http://www.redfin.com/CA/Garden-Grove/11252-Paloma-Ave-92843/home/3475933,PW21180454,33.7703602,-117.9331154,7
347,14202 Taft St,Garden Grove,CA,92843,790000,3,1.5,1219,6138,1959,8,648,http://www.redfin.com/CA/Garden-Grove/14202-Taft-St-92843/home/3470683,OC21179774,33.756756,-117.9422576,7.667
348,12082 Jennifer Ln,Garden Grove,CA,92840,810000,3,2,1644,7200,1955,8,493,http://www.redfin.com/CA/Garden-Grove/12082-Jennifer-Ln-92840/home/3403534,PW21179730,33.7875405,-117.9282412,6.667
349,11771 Brookhurst St,Garden Grove,CA,92840,950000,3,2,1793,8160,1953,9,530,http://www.redfin.com/CA/Garden-Grove/11771-Brookhurst-St-92840/home/3648577,PW21178854,33.7916823,-117.9591543,6.333
350,10480 Radcliff Cir,Westminster,CA,92683,948000,4,3,1814,6175,1963,10,523,http://www.redfin.com/CA/Westminster/10480-Radcliff-Cir-92683/home/3527252,OC21176718,33.7407426,-117.9465472,8.667
351,14441 Brandywyne,Garden Grove,CA,92844,650000,3,2.5,1522,1456,1981,10,427,http://www.redfin.com/CA/Garden-Grove/14441-Brandywyne-Ter-92844/home/3459247,OC21177751,33.752874,-117.960229,7.667
352,13312 Blue Spruce Ave,Garden Grove,CA,92840,685000,3,2,1283,6000,1959,10,534,http://www.redfin.com/CA/Garden-Grove/13312-Blue-Spruce-Ave-92840/home/3951006,OC21178241,33.7781896,-117.9004812,4
353,12092 9th St,Garden Grove,CA,92840,900000,3,1.5,2134,12000,1954,11,422,http://www.redfin.com/CA/Garden-Grove/12092-9th-St-92840/home/3398751,SW21177741,33.7871391,-117.9321772,6.667
354,10662 Morningside Dr,Garden Grove,CA,92843,799000,3,1.5,1219,6000,1958,11,655,http://www.redfin.com/CA/Garden-Grove/10662-Morningside-Dr-92843/home/3470690,OC21176831,33.7561955,-117.9433209,7.667
355,13381 Beach Terrace Dr,Garden Grove,CA,92844,720000,3,2,1348,3915,1977,12,534,http://www.redfin.com/CA/Garden-Grove/13381-Beach-Terrace-Dr-92844/home/3432701,PW21175758,33.768134,-117.990339,6
356,12532 Pleasant Pl,Garden Grove,CA,92841,1085000,3,3,2473,10039,1955,13,439,http://www.redfin.com/CA/Garden-Grove/12532-Pleasant-Pl-92841/home/3656466,PW21175117,33.7806854,-117.9621058,7
357,6362 Apache Rd,Westminster,CA,92683,850000,4,2.5,1437,7245,1955,16,592,http://www.redfin.com/CA/Westminster/6362-Apache-Rd-92683/home/3914706,PW21174086,33.772629,-118.0187231,6
358,10252 Bonser Ave,Garden Grove,CA,92840,1300000,5,4,2345,10017,1954,16,554,http://www.redfin.com/CA/Garden-Grove/10252-Bonser-Ave-92840/home/3389119,OC21173946,33.7839893,-117.9538004,7.667
359,5652 Trinette Ave,Garden Grove,CA,92845,898000,3,3,1596,6000,1964,16,563,http://www.redfin.com/CA/Garden-Grove/5652-Trinette-Ave-92845/home/3926639,PW21173827,33.7819017,-118.0344584,9.333
360,11651 Samuel Dr,Garden Grove,CA,92840,899000,4,2.5,1498,7260,1959,16,600,http://www.redfin.com/CA/Garden-Grove/11651-Samuel-Dr-92840/home/3404360,PW21173667,33.793141,-117.9295913,7.333
